"","Community","Gene.Symbol"
"Pdpr",15,"Pdpr"
"Myh14",2,"Myh14"
"Dnajc30",3,"Dnajc30"
"Atp5j2",15,"Atp5j2"
"Mrps24",2,"Mrps24"
"Acot13",2,"Acot13"
"1700021F05Rik",11,"1700021F05Rik"
"Tomm22",15,"Tomm22"
"Ubn1",2,"Ubn1"
"Olfr173",3,"Olfr173"
"Fis1",2,"Fis1"
"Dnajc28",25,"Dnajc28"
"Ndufaf3",2,"Ndufaf3"
"Dhx30",11,"Dhx30"
"Ndufb9",2,"Ndufb9"
"9330101J02Rik",3,"9330101J02Rik"
"Bcl11b",1,"Bcl11b"
"Etfb",1,"Etfb"
"Mrpl46",2,"Mrpl46"
"Pcyox1l",2,"Pcyox1l"
"Rmnd1",2,"Rmnd1"
"Cox4i1",2,"Cox4i1"
"Lamp1",15,"Lamp1"
"Gstk1",3,"Gstk1"
"Timm17b",3,"Timm17b"
"Ndufb6",5,"Ndufb6"
"Ankra2",1,"Ankra2"
"Rdx",7,"Rdx"
"Msn",7,"Msn"
"Ezr",7,"Ezr"
"Nit1",15,"Nit1"
"Mterf2",2,"Mterf2"
"Mrpl16",4,"Mrpl16"
"Krt17",2,"Krt17"
"Oprm1",6,"Oprm1"
"Sf1",2,"Sf1"
"Gm10553",1,"Gm10553"
"U2af2",2,"U2af2"
"Cryz",2,"Cryz"
"Sfxn3",2,"Sfxn3"
"Cltc",1,"Cltc"
"Tomm6",11,"Tomm6"
"Agpat5",2,"Agpat5"
"Tomm20",1,"Tomm20"
"Aldh5a1",3,"Aldh5a1"
"Cox15",11,"Cox15"
"Vdac1",2,"Vdac1"
"Hdhd2",20,"Hdhd2"
"Fam213b",11,"Fam213b"
"Tomm40",15,"Tomm40"
"Dnajc19",15,"Dnajc19"
"Fxn",2,"Fxn"
"Cbr2",7,"Cbr2"
"Coq10a",3,"Coq10a"
"Cox7a2l",15,"Cox7a2l"
"Nmnat3",2,"Nmnat3"
"Cyb5r3",20,"Cyb5r3"
"Pet112",13,"Pet112"
"Cecr5",2,"Cecr5"
"Spryd4",11,"Spryd4"
"Fam210a",11,"Fam210a"
"Apoh",7,"Apoh"
"Gapdh",1,"Gapdh"
"Gm7293",1,"Gm7293"
"Gm5069",1,"Gm5069"
"Gm3839",1,"Gm3839"
"Ndufb8",3,"Ndufb8"
"Mrpl12",3,"Mrpl12"
"Clpb",6,"Clpb"
"Cd36",1,"Cd36"
"Atp5l",15,"Atp5l"
"Actg2",14,"Actg2"
"Acta1",14,"Acta1"
"Actc1",14,"Actc1"
"Acta2",14,"Acta2"
"Ndufaf4",11,"Ndufaf4"
"Pcx",11,"Pcx"
"Pc",11,"Pc"
"Atp5b",3,"Atp5b"
"Adhfe1",1,"Adhfe1"
"Cox8b",3,"Cox8b"
"Uqcrb",15,"Uqcrb"
"Acaa2",1,"Acaa2"
"Ptpmt1",11,"Ptpmt1"
"Gpd1l",2,"Gpd1l"
"Slc25a20",2,"Slc25a20"
"Mrps15",19,"Mrps15"
"Bckdha",4,"Bckdha"
"Dut",3,"Dut"
"Uqcrq",15,"Uqcrq"
"Hspa8",3,"Hspa8"
"Hspa2",3,"Hspa2"
"Mtpap",7,"Mtpap"
"Pccb",5,"Pccb"
"Ndufs1",5,"Ndufs1"
"Opa3",19,"Opa3"
"Rhot1",13,"Rhot1"
"Fundc2",15,"Fundc2"
"Aifm1",4,"Aifm1"
"Tbrg4",28,"Tbrg4"
"Park7",2,"Park7"
"Nit2",11,"Nit2"
"Acad10",2,"Acad10"
"Ndufs7",2,"Ndufs7"
"Tpi1",2,"Tpi1"
"Ttn",2,"Ttn"
"Slc25a11",11,"Slc25a11"
"Acad9",28,"Acad9"
"mt-Nd5",18,"mt-Nd5"
"Mtnd5",18,"Mtnd5"
"Mrps36",15,"Mrps36"
"Golga3",2,"Golga3"
"Ndufb10",1,"Ndufb10"
"Mto1",15,"Mto1"
"Mfn1",15,"Mfn1"
"Pdf",1,"Pdf"
"Ociad1",6,"Ociad1"
"Acox1",1,"Acox1"
"Mrpl9",2,"Mrpl9"
"Gars",15,"Gars"
"Timm8b",6,"Timm8b"
"Maob",3,"Maob"
"Hibadh",2,"Hibadh"
"Echdc3",2,"Echdc3"
"Ppm1k",9,"Ppm1k"
"mt-Nd3",27,"mt-Nd3"
"Mtnd3",27,"Mtnd3"
"Pygm",1,"Pygm"
"Timm13",6,"Timm13"
"Atp5i",15,"Atp5i"
"Timm44",5,"Timm44"
