Gene.Symbol,minuslog_pval,qval,log2FC
Vnn1,2.77918220,0.00000000,-2.33788875
mt-Nd4l;Mtnd4l,2.29548912,0.00000000,-2.28643765
Lipa,1.02757407,0.00000000,-2.26459979
Ckap4,2.26762693,0.00000000,-2.26309208
Tagln2,2.74764736,0.00000000,-2.24595352
Hspg2,1.90395385,0.00000000,-2.23761358
mt-Nd2;Mtnd2,3.23695882,0.00000000,-2.22946404
,1.98342004,0.00000000,-2.20621538
Tgm1,4.08994375,0.00000000,-2.20603405
Clic4,1.00608004,0.00787920,-2.17508534
Gdi2,1.63286291,0.00000000,-2.16540596
Aco1,2.81887469,0.00000000,-2.13649125
Tpp1,1.40334524,0.00000000,-2.11498794
Gnai3,1.19926497,0.00000000,-2.10627060
Tmx2,2.71467879,0.00000000,-2.09535939
Prelid1,2.36927531,0.00000000,-2.08315290
Nid2,1.43976662,0.00000000,-2.07883450
Aldh1b1,2.12821378,0.00000000,-2.07021778
Ctsd,2.76604267,0.00000000,-2.05130374
Atl3,1.57659713,0.00000000,-2.02800085
Abracl,2.62765441,0.00000000,-2.01763579
Ctnnb1,1.09026560,0.00000000,-2.00007505
Uba52;Kxd1;Ubc;Ubb;Rps27a;Gm5239;Gm7808,2.76227463,0.00000000,-1.99332241
Tln1,2.43778418,0.00000000,-1.99332218
Me2,1.17421715,0.00000000,-1.96121230
Pdp1,3.71225990,0.00000000,-1.95501238
Col9a2,0.94033806,1.00000000,-1.93201196
Mpp1,1.87148182,0.00068259,-1.92604015
Lamc1,2.46681252,0.00000000,-1.85992202
Coa6,1.15141080,0.00000000,-1.83255576
Csl,1.40185217,1.00000000,-1.78264990
Myo7b,1.52381928,0.00000000,-1.74813220
Aurkaip1,1.47226134,0.00000000,-1.72902859
Mtpap,1.92848151,0.00000000,-1.72821723
Slit1,1.02449844,0.00968370,-1.72562227
Col6a3,2.45356953,0.00000000,-1.67847659
Hsd11b2,3.77780797,0.00000000,-1.64390940
Polg,1.87693818,0.00000000,-1.63532085
Ptrhd1,1.42333645,0.00533690,-1.61387482
Atp5c1,2.86481571,0.00000000,-1.57608418
Ace,1.82888136,0.00000000,-1.57322711
Dsp,1.07944959,0.00000000,-1.54694336
Hist1h2bc;Hist2h2bb;Hist1h2bh;Hist1h2bm;Hist1h2bp;Hist1h2bb;Hist1h2bf;Hist1h2br;Hist1h2bk;Hist3h2ba;Hist3h2bb;Hist2h2be;Hist1h2ba,1.51064173,0.00000000,-1.53706045
Ctsh,1.03112103,0.00000000,-1.53371267
Paics,4.22724529,0.00000000,-1.53289086
Gls,0.95859298,0.00000000,-1.52229059
Ghitm,2.49766324,0.00000000,-1.52212972
Nt5dc3,0.79020605,0.00000000,-1.49386165
Gars,1.71994641,0.00000000,-1.45142921
Abca6,4.08996958,1.00000000,-1.44859546
Gm2a,1.24362785,0.00000000,-1.44834663
Cct6a,0.79402522,0.00913240,-1.44364208
Mp68,1.87005840,0.00000000,-1.39490364
Abcc2,1.61050001,0.00000000,-1.38905304
Rmdn1,1.93847091,0.00000000,-1.38482275
Glg1,1.76988023,1.00000000,-1.37655890
Atox1,1.30146574,0.00000000,-1.36318397
Rhcg,1.01219135,0.00000000,-1.36107975
Rnaset2,1.30547931,0.00000000,-1.34012080
Cd81,2.45136541,0.00000000,-1.31222162
Fxn,3.16518604,0.00000000,-1.30347332
Uqcr10,2.32691095,0.00000000,-1.26427251
Slc8a1,2.28276826,0.00000000,-1.26060922
Sema4d,0.68927278,0.00595630,-1.25574756
Ndufa3,2.28642538,0.00000000,-1.25321210
Ctnna1,2.01337122,0.00000000,-1.25178173
Rab39a,1.72625843,0.00000000,-1.23826601
Bgn,1.05956586,0.00972130,-1.21305181
C3,1.53349001,0.00000000,-1.21144713
Mrpl47,2.33922288,0.00000000,-1.20095239
Cltc,4.23357472,0.00000000,-1.19554956
Eral1,2.82681132,0.00000000,-1.19547391
Ctsc,2.66272355,0.00000000,-1.18550857
Mtg2,1.84022203,0.00000000,-1.16635168
Nudt6,2.49680002,0.00000000,-1.16494793
Atp5g1;Atp5g3;Atp5g2,0.92876550,0.00000000,-1.14627458
Mpv17,1.63929275,0.00000000,-1.14505626
Mtx1,4.13173603,0.00000000,-1.13961315
Hemk1,1.14150084,0.00000000,-1.13795702
Hebp1,1.42518109,0.00000000,-1.12587476
Aldh1a1;Aldh1a7,1.76312157,0.00000000,-1.12395964
Elac2,2.19710829,0.00000000,-1.11993693
Pdcd6ip,0.62522128,0.00660500,-1.11960212
Tmem14c,1.17400069,0.00000000,-1.10732120
Mrpl33,2.30958814,0.00000000,-1.10629449
Mtfmt,3.31770928,0.00000000,-1.10589836
Aldh1l1,1.86334018,0.00000000,-1.50735477
Actbl2,1.65311569,0.00000000,-1.08167014
Slc25a29,1.52164687,0.00000000,-1.07188963
Ddx28,1.39925389,0.00000000,-1.07004235
Gm1818;Tfb2m,2.63915590,0.00000000,-1.06905688
Adh1,2.56398266,0.00000000,-1.06618894
Gtpbp10,3.99620296,0.00000000,-1.05729265
Mrps18c,2.76893017,0.00000000,-1.05608521
Rala,0.76835696,0.00000000,-1.05133296
Fmo2,1.54759578,0.00000000,-1.04709930
Sod1,2.57912144,0.00000000,-1.03656179
Ndufb9,2.57060644,0.00000000,-1.02286007
Flad1,2.09446348,0.00000000,-1.00961830
Stx8,0.56924638,0.00000000,-1.00766096
Mpc1,1.78686208,0.00000000,-1.00661296
Mrs2,3.08617191,0.00000000,-1.00514136
Fastkd2,3.35152086,0.00000000,-0.99672559
mt-Atp6;Mtatp6,2.03123670,0.00000000,-0.99546799
Nomo1,1.33465444,0.00000000,-0.99507406
Gm10073;Rplp1,1.41645384,0.00000000,-0.99456942
Cpox,2.32064546,0.00000000,-0.99369757
Cebpzos,3.88638749,0.00000000,-0.99071844
mt-Co1;Mtco1,2.89911698,0.00000000,-0.96155735
Pdhb,4.31535055,0.00000000,-0.96126674
Asah1,3.15923886,0.00000000,-0.95710643
Micu3,4.19387801,0.00000000,-0.95268805
mt-Nd5;Mtnd5,3.83317579,0.00000000,-0.95242468
Cyp2a22,2.89569603,0.00000000,-0.94706911
Hyou1,1.48247360,0.00000000,-0.93592432
