Gene.Symbol,minuslog_pval,qval,log2FC
Pgrmc2,0.25217181,0.00000000,-0.28786971
Bphl,0.83790867,0.00000000,-0.28698004
Fkbp8,0.27785358,0.00000000,-0.28275733
Rab17,1.18369797,0.00000000,-0.28252911
Pdha1,2.52847427,0.00000000,-0.28211754
Gnai1,0.28234200,0.00000000,-0.28180763
Ndufa5,2.89243448,0.00000000,-0.28172006
Mdh2,1.74947995,0.00000000,-0.27868539
Ipo5,0.15633446,0.00000000,-0.27722039
Atp11a,0.67079773,0.00000000,-0.27505830
Dlst,0.94663114,0.00000000,-0.27483173
Mocs1,1.90699578,0.00000000,-0.27430573
,0.26969142,0.00786890,-0.27168008
Acaa1b,1.03489277,0.00000000,-0.27083118
Tkt,0.42740874,0.00000000,-0.26927223
Mrpl1,0.80462512,0.00000000,-0.26856725
1700021F05Rik,0.71057531,0.00000000,-0.26854047
Mrpl19,0.61655308,0.00000000,-0.26728917
Mtx1,1.64724780,0.00000000,-0.26495708
Pdia6,0.51686025,0.00000000,-0.26416020
Abcb10,0.45458684,0.00000000,-0.26413699
Grpel1,2.34962063,0.00000000,-0.26233971
Mrps26,0.77251369,0.00000000,-0.25960981
Hacl1,0.53386453,0.00000000,-0.25934028
Anpep,0.57010947,0.00000000,-0.25824028
Ndufb6,1.06252471,0.00000000,-0.25799763
Rab6a,0.48031890,0.00000000,-0.25446832
Gapdh;Gm3839;Gm7293;Gm5069,0.31968059,0.00000000,-0.25330161
Npepps,0.88005715,0.00000000,-0.25292170
Bcl2l1,0.60237073,0.00000000,-0.25221853
Coq9,1.26315208,0.00000000,-0.25195441
Qdpr,0.61589199,0.00000000,-0.25036445
Ap1b1,0.31694662,0.00000000,-0.25031333
Timm8b,0.29988638,0.00000000,-0.24834448
Tmem135,1.35122376,0.00000000,-0.24811398
Actn4,0.39351851,0.00000000,-0.24785650
Letm1,0.76428778,0.00000000,-0.24749258
Yars2,1.02002741,0.00000000,-0.24515869
Tpt1,0.19617103,0.00000000,-0.24507868
Dcakd,0.97268397,0.00000000,-0.24235414
Calm1,0.47775485,0.00000000,-0.24231840
Aadat,0.90485480,0.00000000,-0.24124523
Rab11b;Rab11a,0.76437845,0.00000000,-0.24120617
Hk1,1.19487116,0.00000000,-0.24111602
Hccs,0.83041462,0.00000000,-0.24068213
Gfm2,0.73524262,0.00000000,-0.24005169
Txnrd1,0.18692270,0.00000000,-0.23959684
Echs1,1.33637936,0.00000000,-0.23894406
Gstt2,0.29960566,0.00000000,-0.23750838
Adck5,0.19997449,0.00000000,-0.23546268
Prdx2,0.75522658,0.00000000,-0.23392233
Smim20,0.38628244,0.00000000,-0.23334393
1110008L16Rik;Kiaa0391,0.34779418,0.00000000,-0.23252720
Serpinh1,0.27261064,0.00000000,-0.23252021
Fech,1.13202021,0.00000000,-0.23128412
Cstb,0.25801918,0.00974030,-0.23105608
Bckdk,0.92223797,0.00000000,-0.23025951
Slc25a16,0.86754183,0.00000000,-0.22993771
Mfn2,0.47809568,0.00000000,-0.22945094
Slc25a23,0.74328957,0.00000000,-0.22813585
Isoc2b,0.72082452,0.00000000,-0.22729381
Sirt3,0.54976633,0.00000000,-0.22649516
Cox7a2l,1.10071648,0.00000000,-0.22641438
Fbp1,0.40242675,0.00000000,-0.22570807
Lipt2,1.11768408,0.00000000,-0.22556128
Oxa1l,0.77171946,0.00000000,-0.22428894
Ptrh1,0.46438314,0.00000000,-0.22366272
Higd1a,0.78476225,0.00000000,-0.22206092
Slc25a19,0.52027109,0.00000000,-0.22124564
Hadhb,0.79999369,0.00000000,-0.22047405
Ndufs1,0.56395610,0.00000000,-0.22045415
Hbbt1;Hbb-b1;Hbb-bs,0.25757528,0.00000000,-0.21971373
Myo19,0.72339547,0.00000000,-0.21931226
Mrpl38,1.07032904,0.00000000,-0.21871976
Plgrkt,0.48684234,0.00000000,-0.21770211
Atp5sl,0.95368107,0.00000000,-0.21694766
Mep1a,0.30208316,0.00000000,-0.21489789
Acad10,2.24707065,0.00000000,-0.21433951
Lonp1,1.09772702,0.00000000,-0.21283919
Pcmt1,0.69163162,0.00000000,-0.21283603
Dnlz,1.70919936,0.00000000,-0.21270579
Shmt2,1.67766879,0.00000000,-0.21110326
Nipsnap1,0.56797440,0.00000000,-0.21088094
Slc25a4,0.70396678,0.00000000,-0.20885730
Slc25a3,1.34321116,0.00000000,-0.20866888
Vcl,0.25255101,0.00000000,-0.20679850
,0.32778114,0.00000000,-0.20670389
Mpv17l2,0.57095512,0.00000000,-0.20501121
Tmem11,0.85767891,0.00000000,-0.20279008
Suclg1,1.28336326,0.00000000,-0.20178366
mt-Cytb;Mt-Cyb,0.38414016,0.00000000,-0.20141751
Apoa1bp,1.51252928,0.00000000,-0.20074997
Rpl18,0.29212408,0.00000000,-0.20020548
Mtx2,0.63632572,0.00000000,-0.19995583
Pet112,0.34331516,0.00000000,-0.19949672
Xrcc6bp1,0.27559271,0.00000000,-0.19564029
Coq10b,0.55038588,0.00000000,-0.19448148
Rplp0;Gm8730,0.23185590,0.00000000,-0.19381919
Slc25a5,1.35397652,0.00000000,-0.19263476
Ndufa1,0.29425246,0.00000000,-0.19212195
Ogdh,1.12291326,0.00000000,-0.19206273
Glud1,0.84003020,0.00000000,-0.19061888
Mcu,0.70725686,0.00000000,-0.18892153
Kifc3,0.68399202,0.00975930,-0.18831135
Bdh1,0.47726865,0.00000000,-0.18762209
Aldh6a1,0.72649961,0.00000000,-0.18427243
Cpt1a,0.77176486,0.00000000,-0.18320953
Ndufa13,0.73358466,0.00000000,-0.18170315
Afg3l2,0.40805651,0.00000000,-0.17929076
Timm9,0.83443715,0.00000000,-0.17803553
Acad11,0.36341284,0.00000000,-0.17753688
Pyroxd2,0.40998793,0.00000000,-0.17738120
Mrps21,0.71432027,0.00000000,-0.17721864
,0.81256809,0.00000000,-0.17604994
Txn2,0.86397136,0.00000000,-0.17449905
Mpc2,0.32804621,0.00000000,-0.16775590
Ddost,0.40406902,0.00000000,-0.16693318
Comt,0.33642327,0.00000000,-0.16502234
Mrpl28,0.44630023,0.00000000,-0.16284162
Ephx2,0.44369170,0.00000000,-0.15997512
Park7,0.60952874,0.00000000,-0.15764058
Lap3,1.02618344,0.00000000,-0.15727279
Mgst1,0.42154662,0.00000000,-0.15622594
Mthfd1l,0.49223759,0.00000000,-0.15377624
Lactb2,0.55802616,0.00000000,-0.15330323
Hadha,0.60532599,0.00000000,-0.15317088
Ndufv1,0.50875310,0.00000000,-0.15182524
Gcdh,0.45313989,0.00000000,-0.15073096
Rab6a,0.24882996,0.00000000,-0.14944620
Hint2,0.94841085,0.00000000,-0.14902025
Nipsnap3b,0.32990436,0.00000000,-0.14858660
Prdx5,1.59231400,0.00000000,-0.14822843
Ace2,0.23354589,0.00000000,-0.14818488
Ano6,0.35387709,0.00000000,-0.14669189
Aass,0.59983266,0.00000000,-0.14316519
Atp5a1,0.79291914,0.00000000,-0.14306322
Pdk3,0.44360221,0.00000000,-0.14233778
Trabd,0.23157722,0.00000000,-0.14045901
Pex11g,0.19886290,0.00000000,-0.13839523
Mettl7a2;Mettl7a3,0.35564510,0.00596820,-0.13798086
Hsdl2,0.24166714,0.00000000,-0.13791934
Ran;1700009N14Rik,0.17417291,0.00000000,-0.13764378
Mtch1,0.52171182,0.00000000,-0.13489677
Aldoa;Aldoart2;Aldoart1,0.12283354,0.00000000,-0.13208111
Nit1,0.36047544,0.00000000,-0.13166318
Pitrm1,0.67352686,0.00000000,-0.13129649
Tstd1,0.15352004,0.00000000,-0.12998693
Armc10,0.34796853,0.00000000,-0.12899876
Gpx1,0.64442274,0.00000000,-0.12630433
Fkbp2,0.16166543,0.00136330,-0.12614758
Pdk2,0.37065908,0.00000000,-0.12596289
Ganab,0.35133581,0.00000000,-0.12588189
Ldhd,0.40470998,0.00000000,-0.12408021
Scp2,0.38564246,0.00000000,-0.12325530
Phyh,0.24689508,0.00000000,-0.11824959
Ppa2,0.40847962,0.00000000,-0.11660718
Sqrdl,0.48983827,0.00000000,-0.11582204
Nceh1,0.22045820,0.00000000,-0.11495686
Gpx3,0.16928204,0.00000000,-0.11450105
Adck4,0.24574739,0.00000000,-0.11412812
Slc2a2,0.11376998,0.00000000,-0.11409495
Serhl,0.33634420,0.00000000,-0.11330448
Acadsb,0.50109541,0.00000000,-0.11305586
Grsf1,0.29603704,0.00000000,-0.11244141
Eno1,0.26210860,0.00000000,-0.11224386
Tuba1c;Tuba1b;Tuba1a,0.25356495,0.00000000,-0.11161986
Yme1l1,0.47766966,0.00000000,-0.10943099
Cox17,0.16173357,0.00000000,-0.10745509
Mrpl54,0.35349003,0.00000000,-0.10740828
Isoc2a,0.60942918,0.00000000,-0.10647414
Dao,0.18878345,0.00000000,-0.10502739
Acot13,0.31249249,0.00000000,-0.10458776
Dguok,0.36066578,0.00000000,-0.10393623
Myo6,0.20663839,0.00000000,-0.10385225
Tmem261,0.21185389,0.00000000,-0.59757193
Gsta2;Gm10639;Gsta1,0.09746281,0.00000000,-0.09906198
Gcat,0.54831521,0.00000000,-0.09741827
Tomm40l,0.16384952,0.00000000,-0.09647003
Mettl7a1;Mettl7a2Higd1c;UbiE2;UbiE-YGHL1(HIG1-4),0.19531851,0.00000000,-0.09602875
Tmem186,0.23940006,0.00000000,-0.09588766
Acot2,0.84891608,0.00000000,-0.09534798
Glyctk,0.48423041,0.00000000,-0.09509219
Rars2,0.31309060,0.00000000,-0.09118158
Kdelr2,0.04989863,0.00468540,-0.09073691
Pnpla8,0.29886472,0.00000000,-0.09034037
Hibadh,0.34330769,0.00000000,-0.08968653
Slc22a1,0.23175377,0.00000000,-0.08826876
Cox15,0.18990601,0.00000000,-0.08599702
Minos1,0.11668607,0.00000000,-0.08494204
Idh2,0.48070140,0.00000000,-0.08462316
Ppia,0.80784576,0.00000000,-0.08386321
Abhd10,0.28787967,0.00000000,-0.08235470
Mrps15,0.25421750,0.00000000,-0.08210254
,0.24069883,0.00000000,-0.08209173
Nudt2,0.31651045,0.00000000,-0.08140329
Mrpl10,0.25668114,0.00000000,-0.07964276
Akr7a2,0.24188899,0.00000000,-0.07878309
Ube2l3,0.15349772,0.00000000,-0.07783736
Glod4,0.22364919,0.00000000,-0.07683724
Tbrg4,0.10883006,0.00000000,-0.07579970
Slc25a15,0.27950952,0.00000000,-0.07539093
Ndufa11,0.23118528,0.00000000,-0.07378659
Prosc,0.28220717,0.00000000,-0.07325103
Angel2,0.21616736,0.00000000,-0.07020711
Ap2a2,0.06368409,0.00000000,-0.07014710
Fastkd5;Ubox5,0.09959253,0.00000000,-0.06815398
Mmab,0.23173054,0.00000000,-0.06746781
AK157302;Isca1,0.17437769,0.00000000,-0.06732657
Mrps22,0.20208532,0.00000000,-0.06668227
Coasy,0.43956007,0.00000000,-0.06626819
Ethe1,0.39054423,0.00000000,-0.06597362
Lace1,0.18379083,0.00000000,-0.06298131
Eci1,0.23175571,0.00000000,-0.06171548
Nt5c3a,0.14192248,0.00000000,-0.06044171
Bcat2,0.14746264,0.00000000,-0.05205884
Htatip2,0.14243913,0.00000000,-0.04924651
Mrpl21,0.16717075,0.00000000,-0.04915886
Mrps33,0.07697484,0.00000000,-0.04812364
Ptrh2,0.16726148,0.00000000,-0.04791372
Gsr,0.21035954,0.00000000,-0.04735305
Acox2,0.09184826,0.00000000,-0.04658656
Mrpl40,0.12485102,0.00000000,-0.04576488
Cth,0.02492215,0.00000000,-0.04566462
Gm20498,0.16635974,0.00000000,-0.04416687
Ndufaf4,0.10243647,0.00000000,-0.04388544
Ndufs3,0.25452751,0.00000000,-0.04299372
Mccc1,0.09988490,0.00000000,-0.04279333
Ak3,0.17270919,0.00000000,-0.04071047
Myo1c,0.05125789,0.00000000,-0.03988199
Ebp,0.29030644,0.00531210,-0.03849106
Rdh13,0.09560879,0.00000000,-0.03585740
P4hb,0.04576946,0.00000000,-0.03413816
Mtx3,0.07085193,0.00000000,-0.03394969
Iba57,0.10728371,0.00000000,-0.03382446
Bckdhb,0.09589448,0.00000000,-0.03327057
Tk2,0.06785622,0.00000000,-0.03300620
Cyb5b,0.15457132,0.00000000,-0.03159197
Rhot1,0.06417864,0.00000000,-0.03102096
Cox5b,0.18166910,0.00000000,-0.03016519
Mrpl39,0.08274949,0.00000000,-0.02964097
Mrps14,0.07352041,0.00000000,-0.02820046
Slc25a42,0.07121801,0.00000000,-0.02736510
Dtymk,0.05884107,0.00000000,-0.02530918
Glrx2,0.05330078,0.00000000,-0.02448724
Rtn4ip1,0.03901028,0.00000000,-0.02124125
Gatc,0.04262663,0.00000000,-0.01985554
Txn,0.08669827,0.00000000,-0.01976111
Atp2a2,0.03941414,0.00000000,-0.01938873
Slc25a10,0.06365464,0.00000000,-0.01934505
Acss1,0.04811115,0.00000000,-0.01816411
Ecsit,0.05099318,0.00000000,-0.01812350
Tars2,0.02864359,0.00000000,-0.01801405
Srxn1,0.01472883,0.00532980,-0.01792020
Ivd,0.06363915,0.00000000,-0.01762013
Tefm,0.03504944,0.00000000,-0.01714467
Rab1b,0.06971326,0.00000000,-0.01684762
Coq7,0.06035537,0.00000000,-0.01641324
Immt,0.05473375,0.00000000,-0.01572314
Gldc,0.04722316,0.00000000,-0.01512357
Cct2,0.00755304,0.00000000,-0.01145562
Vapb,0.02055014,0.00000000,-0.01136216
Hsp90ab1;Hsp90aa1,0.03501982,0.00000000,-0.01029986
Sars2,0.01640294,0.00000000,-0.00861048
Ptpmt1,0.01750300,0.00000000,-0.00726250
Dnaja3,0.01806997,0.00000000,-0.00699003
Mars2,0.01019435,0.00000000,-0.00580746
Chchd6,0.01612603,0.00000000,-0.00490427
Mrps6,0.00969653,0.00000000,-0.00436761
Arl10,0.00273871,0.00000000,-0.00389313
Pex16,0.00546907,0.00000000,-0.00233462
Kmo,0.00488571,0.00000000,-0.00109797
Uqcrfs1,0.00277992,0.00000000,-0.00092696
Hmgcl,0.00145056,0.00000000,-0.00041778
Mpst,0.00076797,0.00000000,-0.00020089
Mpv17l,0.00205698,0.00000000,0.00073522
Hao2,0.00393707,0.00000000,0.00219465
Trmu,0.00463820,0.00000000,0.00239431
Cryz,0.00600832,0.00000000,0.00312823
Polrmt,0.00574684,0.00000000,0.00319546
Thnsl1,0.00435648,0.00000000,0.00326245
Bak1,0.00526713,0.00000000,0.00334587
Aldh2,0.01458852,0.00000000,0.00424958
Vwa8,0.01228404,0.00000000,0.00437541
Faah,0.00538762,0.00000000,0.00472093
Amacr,0.01451731,0.00000000,0.00504847
Ndufb4,0.01800441,0.00000000,0.00610870
Tomm40,0.01086645,0.00000000,0.00660366
Acadl,0.02096928,0.00000000,0.00706677
Bcs1l,0.02607268,0.00000000,0.00709008
Dhfr,0.01550667,0.00000000,0.00720237
Mrpl9,0.03214261,0.00000000,0.00808069
Mccc2,0.02053799,0.00000000,0.00832498
Pex1,0.02404976,0.00000000,0.00868392
5-Mar,0.03328370,0.00000000,0.00902658
Trnt1,0.03254557,0.00000000,0.01744374
Ppib,0.05563906,0.00000000,0.01766098
Reep5,0.03416501,0.00000000,0.01770190
Arl6ip1,0.07991166,0.00000000,0.01839356
Idh3a,0.05107791,0.00000000,0.02232060
Uqcrb,0.08734661,0.00000000,0.02656601
,0.18055598,0.00000000,0.02952021
Cox7a2,0.07297955,0.00000000,0.03113797
Pex14,0.06036279,0.00000000,0.03122461
Timm17b,0.08026889,0.00000000,0.03314501
Schip1,0.03072515,1.00000000,0.03381136
Prdx3,0.14405848,0.00000000,0.03394141
Tstd3,0.05860961,0.00000000,0.03438106
Pptc7,0.21154135,0.00000000,0.03449011
Pccb,0.14757609,0.00000000,0.03490014
Echdc1,0.13290392,0.00000000,0.03583207
Ndufb10,0.22203090,0.00000000,0.03869139
Pmpca,0.14804187,0.00000000,0.03968874
Grhpr,0.10498697,0.00000000,0.04068233
Gm10108;Cycs,0.20245134,0.00000000,0.04075048
Agxt2,0.20311787,0.00000000,0.04077295
Mrps34,0.11239005,0.00000000,0.04096147
Faf2,0.07029409,0.00000000,0.04167492
Dld,0.29359524,0.00000000,0.04436545
Aldh3a2,0.26781533,0.00000000,0.04733618
Acot3;Acot5,0.03238544,0.00000000,0.04855079
Timm50,0.10562543,0.00000000,0.04901756
Fmo4,0.15505968,0.00000000,0.05067755
Samm50,0.69347742,0.00000000,0.05509414
Rab5b,0.15108450,0.00000000,0.05535105
Rab21,0.14568076,0.00000000,0.05536587
Acot4,0.14540685,0.00000000,0.05553929
Hsd17b4,0.19768475,0.00000000,0.05683711
Ugt1a7c,0.24239426,0.00000000,0.05728300
Agpat5,0.08627617,0.00000000,0.05839549
Ndufa10,0.16167200,0.00000000,0.06173766
Bdh2,0.15816975,0.00000000,0.06195591
Kars,0.11940876,0.00000000,0.06206681
Mrps9,0.13804446,0.00000000,0.06324248
Ndufb7,0.22462598,0.00000000,0.06369107
Gm20390,0.26980990,0.00000000,0.06500836
Auh,0.29434996,0.00000000,0.06622091
Ehhadh,0.14269712,0.00000000,0.06684952
Hsd17b10,0.47016379,0.00000000,0.06702833
Mlycd,0.32778010,0.00000000,0.06752410
Sdhc,0.14120131,0.00000000,0.06849562
Crot,0.26052901,0.00000000,0.06906936
Uqcrc2,0.36655267,0.00000000,0.07041947
Apoo,0.26265901,0.00000000,0.07208465
Clpx,0.30105046,0.00000000,0.07245312
Hibch,0.20039232,0.00000000,0.07308649
Cml3;Gm4477,0.19989990,0.00000000,0.07323860
Echdc2,0.29325476,0.00000000,0.07488793
Fam210a,0.16025306,0.00000000,0.07492116
Xpnpep3,0.24693535,0.00000000,0.07641633
Arg2,0.15746477,0.00000000,0.07685350
Acaa2,0.50769808,0.00000000,0.07871281
Etfb,0.30663523,0.00000000,0.08047475
Cs,0.29600971,0.00000000,0.08310908
Ssr3,0.08017525,0.00000000,0.08320772
Mrpl50,0.16490215,0.00000000,0.08485946
Spr,0.39970532,0.00000000,0.08490968
Nars2,0.15758380,0.00000000,0.08843911
Pex10,0.13661796,0.00000000,0.09060395
Mrps10,0.25625732,0.00000000,0.09164208
Mrpl20,0.21623497,0.00000000,0.09179742
,0.34175662,0.00000000,0.09229815
Timm44,0.29493346,0.00000000,0.09487594
Acy3,0.34257676,0.00000000,0.09577476
Gm20671;Pisd,0.27415951,0.00000000,0.09597269
Chchd3,0.27547272,0.00000000,0.09748624
Etfa,0.34681461,0.00000000,0.09869825
Dnpep,0.14505021,0.00000000,0.53474952
Gtpbp8,0.37716870,0.00000000,0.59140819
Alkbh7,0.41639888,0.00000000,0.10322729
Gpd1l,0.15910652,0.00000000,0.10391079
Idi1,0.90312302,0.00000000,0.10503419
Cyp2j5,0.08299337,0.00000000,0.10508547
Atp5c1,0.37850350,0.00000000,0.10618702
Cuta,0.24190836,0.00000000,0.10631201
Dhrs4,0.38661645,0.00000000,0.10878954
Adprhl2,0.17235404,0.00000000,0.11012468
Mthfsl,0.16541921,0.00000000,0.11052073
Ide,0.32344347,0.00000000,0.11059452
Gfm1,0.27695023,0.00000000,0.11208276
Tango2,0.46981522,0.00000000,0.11237183
Bcl2l13,0.24914904,0.00000000,0.11335708
Slc25a40,0.21418534,0.00000000,0.11460709
Mthfd1,0.30642705,0.00000000,0.11511933
Lypla1,0.40909741,0.00000000,0.11630782
Timm10b,0.88619456,0.00000000,0.11703503
Diablo,0.16327857,0.00000000,0.11769897
Ndufb5,0.42663259,0.00000000,0.11809218
Pfn1,0.09181874,0.00000000,0.11852961
Adhfe1,0.56155430,0.00000000,0.11918891
Spryd4,0.53577262,0.00000000,0.11989801
Lrrc59,0.12343291,0.00000000,0.12080580
Chdh,0.62207341,0.00000000,0.12146381
Atpaf1,0.46722616,0.00000000,0.12192195
Mrps27,0.46939829,0.00000000,0.12298361
Bpnt1,0.34201685,0.00000000,0.12660018
Timmdc1,0.74378085,0.00000000,0.12662688
Hmgcs2,0.12357634,0.00000000,0.12683004
Gbas,0.43687220,0.00000000,0.12753374
Slc3a1,0.21326160,0.00000000,0.12804798
Suclg2,0.51706807,0.00000000,0.12813439
Tamm41,0.33753083,0.00000000,0.12954798
Actg1;Actb;Acta1;Actc1;Actg2;Acta2,0.43253204,0.00000000,0.13020784
Cox18,0.15238752,0.00270820,0.13112816
Coa3,0.31722222,0.00000000,0.13174261
Esyt1,0.22971803,0.00000000,0.13516531
Letmd1,0.29118389,0.00000000,0.13764168
Dhrs1,0.67226551,0.00000000,0.13901765
Pcyox1l,0.16426462,1.00000000,0.13925850
Ndufa2,0.36924862,0.00000000,0.14156025
Nqo1,0.57032742,0.00000000,0.14263963
Mtch2,0.49664413,0.00000000,0.14273231
Oxnad1,0.54895361,0.00000000,0.14314797
Noa1,0.14570104,0.00000000,0.14450418
Immp2l,0.32749435,0.00000000,0.14622756
Mecr,0.57234639,0.00000000,0.15212113
Nlrx1,0.65711783,0.00000000,0.15217942
Slc30a1,0.26295433,0.00850790,0.15327716
Fam136a,0.23572817,0.00000000,0.15350555
Acsl1,0.42433148,0.00000000,0.15405512
Xpnpep1,0.69944295,0.00000000,0.15418675
Ndufb8,0.44127952,0.00000000,0.15446664
Cox6b1,0.63885700,0.00000000,0.15456728
Slc25a35,1.14838964,0.00000000,0.15512395
Rac1;Rac3;Rac2,0.34559121,0.00000000,0.15572383
Rab2a,0.33703097,0.00000000,0.15897981
Asph,0.11079688,0.00000000,0.16107484
Cryab,0.43034798,0.00000000,0.16552274
Cox5a,1.22789287,0.00000000,0.16683030
Mrps35,0.44412887,0.00000000,0.16774351
Wars2,0.57378883,0.00000000,0.16898087
Akr1b10,0.44187768,0.00000000,0.16949833
Ndufb3,0.35580093,0.00000000,0.16962955
Aldob,0.36769887,0.00000000,0.17097225
Cox11,0.46505164,0.00000000,0.17185057
Nsdhl,0.40406251,0.00971500,0.17189489
Dbi,0.24235537,0.00000000,0.17224731
Mavs,0.16319243,0.00596030,0.17260745
Gtpbp3,0.38556894,0.00000000,0.17281803
Sucla2,0.82988809,0.00000000,0.17302386
Decr1,0.75898343,0.00000000,0.17302597
Abcg2,0.26834341,0.00000000,0.17406311
Tmem223,0.54142568,0.00000000,0.17625051
Clpb,0.17329796,0.00000000,0.17952383
Irgm1,0.77026651,0.00000000,0.18244464
Crat,0.78814307,0.00000000,0.18371663
Ap2b1,0.28800612,0.00000000,0.18683630
Taco1,0.60086921,0.00000000,0.18687897
Mrps28,0.48847832,0.00000000,0.18781720
Pyurf,1.06228869,0.00000000,0.18869564
Gk;Gyk,0.91335365,0.00000000,0.18951496
Slc25a45,0.91337103,0.00000000,0.19108487
Acox3,0.47498087,0.00000000,0.19355886
Pnpt1,0.49939684,0.00000000,0.19477248
Sfxn5,0.56270215,0.00000000,0.19530552
Ggt1,0.40390844,0.00000000,0.19536767
Acad9,1.18064598,0.00000000,0.19551811
Sccpdh,0.65130402,0.00000000,0.19552872
Hagh,0.73237313,0.00000000,0.19791262
Gstp2;Gstp1,0.41647939,0.00000000,0.19825704
Rmnd1,0.44061430,0.00000000,0.19829255
Mrps25,0.56672410,0.00000000,0.19996157
Mrpl23,0.83258386,0.00000000,0.20296230
Lin7c,0.27780414,0.00000000,0.20349579
Macrod1,0.71088427,0.00000000,0.20450654
Ndufaf5,0.42117490,0.00000000,0.20583467
Ndufb2,0.54815191,0.00000000,0.20633415
Nit2,1.19561087,0.00000000,0.20811821
Pex6,0.61241122,0.00000000,0.21032178
Gpd2,0.58922204,0.00000000,0.21157863
Ak4,0.80155438,0.00000000,0.21250291
Idh3g,0.40031853,0.00000000,0.21654318
Rab5c,0.53704404,0.00000000,0.22245905
Ntpcr,0.63705642,0.00000000,0.22374824
Enpp3,0.37464195,0.00000000,0.22407964
Mtg1,0.55315877,0.00000000,0.22563603
Armc1,0.78514934,0.00000000,0.22593374
Rpl14,0.58391997,0.00000000,0.22918852
Acsm2,2.56482653,0.00000000,0.22957274
Rab31,1.57233287,0.00000000,0.22995759
Atp5d,1.58865369,0.00000000,0.23101479
Pnpo,0.72419851,0.00000000,0.23144208
Ddo,0.57070176,0.00000000,0.23320975
Hba-a2;Hba,0.34444533,0.00000000,0.23339449
Slc25a36,0.85996150,0.00000000,0.23352845
Bola1,0.59657954,0.00000000,0.23463522
Cyp4b1,1.60585170,0.00000000,0.23691312
Nif3l1,0.45691167,0.00000000,0.23770645
Atp5h;Gm10250,1.07735225,0.00000000,0.23976156
,0.62165129,0.00000000,0.24155233
Ndufaf7,0.62756604,0.00000000,0.24257598
Ndufaf6,0.75115287,0.00000000,0.24272912
Timm13,0.47745598,0.00000000,0.24292768
Them7,0.71522714,0.00000000,0.24425600
Tomm70a,0.75827676,0.00000000,0.24569097
Txnrd2,1.00008665,0.00000000,0.24627332
Mrpl24,0.53601908,0.00000000,0.24679050
Nfs1,1.36196371,0.00000000,0.24688884
Slc17a3,0.21146041,0.00000000,0.24781367
Apool,1.10235534,0.00000000,0.24791423
Rab22a,1.09947087,0.00000000,0.25128745
Timm21,0.80999480,0.00000000,0.25131021
Mrpl22,0.41427456,0.00000000,0.25239351
Mrpl17,0.75756891,0.00000000,0.25316316
Fam173a,0.62669700,0.00000000,0.25469953
Rab3d;Rab3a,0.20806481,0.00000000,0.25616293
Mep1b,0.48644611,0.00000000,0.25814348
Nubpl,0.98508895,0.00000000,0.26286393
Pbld1,0.61197012,0.00000000,0.26303743
Ndufaf2,1.41691815,0.00000000,0.26387405
Aldh4a1,1.78312666,0.00000000,0.26389246
Pecr,0.96524431,0.00000000,0.26548447
Hras;Nras;Kras,0.50150361,0.00000000,0.26630670
Tufm;Gm9755,1.14196830,0.00000000,0.26662285
Tomm6,0.49568079,0.00000000,0.26719336
Ndufa6,0.97179916,0.00000000,0.26792288
Etfdh,1.34954648,0.00000000,0.26813115
Gpm6a,0.33637809,0.00000000,0.26839085
Atp5s,1.14682404,0.00000000,0.26865522
Cox16,0.26483281,0.00270450,0.26983262
Pam16,1.48674639,0.00000000,0.27009618
Sdhb,1.45426748,0.00000000,0.27283602
Timm10,0.76395451,0.00000000,0.27590941
Spg7,0.68280396,0.00000000,0.27671661
Acsf3,0.72751007,0.00000000,0.27675366
Tmco1,0.73032961,0.00404040,0.27933120
Acsm1,1.19536295,0.00000000,0.27961974
Uqcrq,1.17376161,0.00000000,0.28000351
Fam173b,1.06204772,0.00000000,0.28408987
Sco2,0.71972790,0.00000000,0.28503632
Nmnat3,2.58717079,0.00000000,0.28526111
Mme,0.36635155,0.00000000,0.28544520
Abhd14b,0.66842306,0.00000000,0.28709480
Mrpl18,1.11717206,0.00000000,0.28961339
Fam213b,0.56270895,0.00000000,0.29008705
Ndufa8,1.02967433,0.00000000,0.29069775
Hsd11b1,0.49815954,0.00000000,0.29311061
Acadm,2.13630830,0.00000000,0.29380402
Ssbp1,0.62393014,0.00000000,0.29434326
Pex3,0.52023031,0.00000000,0.29443300
Mrps11,0.96528452,0.00000000,0.29608666
Echdc3,0.67107216,0.00000000,0.29889236
Eci3,0.72606568,0.00000000,0.29986140
Atp1b1,0.83609376,0.00000000,0.30059071
2-Mar,1.37363084,0.00000000,0.30178691
Calr,0.20237989,0.00000000,0.30202541
Hspd1,3.03472175,0.00000000,0.30203150
Clic5,0.17089745,0.00000000,0.30225994
Stoml2,0.66622160,0.00000000,0.30436309
Fmo1,1.01726638,0.00000000,0.30445121
Acsm5,1.01184062,0.00000000,0.30997652
Sirt4,0.64643139,0.00000000,0.31190082
Mrpl14,1.73566552,0.00000000,0.31623948
Fdx1,3.22308061,0.00000000,0.31701113
Slc22a12,0.70397337,0.00000000,0.31923119
Cyb5r3,1.06670098,0.00000000,0.32153832
Mrps23,1.13770441,0.00000000,0.32254999
Atp6v0d1,0.49158951,0.00000000,0.32283759
Tmed7,0.67465862,0.00000000,0.32774203
Ndufb11,0.89887712,0.00000000,0.32833712
