Gene.Symbol,qval,LFQ_KO_1,LFQ_KO_2,LFQ_KO_3,LFQ_KO_4,LFQ_WT_1,LFQ_WT_2,LFQ_WT_3,LFQ_WT-4,Ratio_KO.WT,log2FC,Ttest,minuslog_pval
Slc25a3,0.00000000,2302100000,2368300000,2313100000,2723800000,2089000000,2300000000,2033100000,2219300000,1.12334807,0.16780502,0.07238878,3.78809017
Mpc2,0.00000000,248920000,198240000,180820000,137790000,232530000,251200000,277860000,245390000,0.76046198,-0.39505198,0.07248027,3.78626789
Pitrm1,0.00000000,278610000,271110000,275930000,293980000,425490000,372560000,389970000,275270000,0.76514567,-0.38619367,0.07380063,3.76022302
Afg3l2,0.00000000,99481000,81192000,65981000,90319000,86267000,121620000,104960000,114270000,0.78894776,-0.34199832,0.07479862,3.74084452
Rtn4ip1,0.00000000,18316000,18636000,12147000,18740000,21035000,17874000,28427000,25359000,0.73185177,-0.45037662,0.07606457,3.71663153
Ckmt1,1.00000000,5817800,8954500,3268700,6778300,9481200,12275000,6462200,11617000,0.62304634,-0.68258864,0.07757489,3.68826644
Mcee,0.00000000,33135000,24103000,30502000,26968000,35856000,54705000,39772000,33036000,0.70214055,-0.51016824,0.08022630,3.63978097
Mdh2,0.00000000,7775600000,6882200000,8822600000,8275100000,6089700000,5301000000,8108400000,5959900000,1.24731922,0.31883073,0.08158068,3.61562869
Ogdh,0.00000000,13225000000,14231000000,10415000000,11245000000,12970000000,15502000000,14830000000,14677000000,0.84713431,-0.23933738,0.08436707,3.56717616
2310061I04Rik,0.00000000,15021000,16218000,15058000,20802000,19500000,27202000,18540000,21745000,0.77136814,-0.37450854,0.08628541,3.53473962
Cdc42,0.00160770,5698500,3938800,1865900,2117500,4752900,4924700,5949600,6600600,0.61277769,-0.70656432,0.09080467,3.46108965
Echdc2,0.00000000,29832000,25184000,27748000,21827000,27238000,15767000,17917000,18527000,1.31645458,0.39665775,0.09211819,3.44037015
Bphl,0.00000000,67102000,71056000,64137000,53260000,71450000,66549000,93865000,97369000,0.77621320,-0.36547513,0.09498336,3.39618148
Mrpl10,0.00000000,21610000,21150000,23315000,23219000,24345000,22280000,26129000,28092000,0.88544910,-0.17551872,0.09828279,3.34691742
Ubr1,0.00538360,302660,443390,308360,325970,378260,171570,0,0,2.51055781,1.32800795,0.09965213,3.32695551
Idh3a,0.00000000,444090000,454080000,498590000,438660000,643910000,672910000,504110000,474020000,0.79976470,-0.32235249,0.10009928,3.32049648
Rdh14,0.00000000,4097000,3369800,3283000,2423200,3633500,4471900,4257600,3971400,0.80645754,-0.31032952,0.10254665,3.28564773
Tfam,0.00000000,79115000,70561000,61133000,79235000,71266000,53982000,62713000,58930000,1.17478563,0.23239753,0.10564489,3.24270512
Slc25a22,0.00000000,20649000,14387000,18210000,19497000,23002000,26520000,18290000,21624000,0.81335257,-0.29804724,0.10648155,3.23132462
mt-Atp8;Mtatp8,0.00000000,511650000,694430000,585890000,683910000,315690000,5076100,567510000,478470000,1.81151422,0.85719613,0.10698730,3.22448859
Pgam2;Pgam1,0.00297620,0,534370,423240,0,460440,421660,842130,547060,0.42161503,-1.24600180,0.10703376,3.22386214
Atpif1,0.00168350,6995300,10139000,12648000,11807000,7037900,0,8999300,7492800,1.76750106,0.82171108,0.11391083,3.13402317
Ctsb,0.00174520,1707000,937430,1059800,1787400,763620,0,1321000,824420,1.88778085,0.91669129,0.11631746,3.10386038
Timm23,0.00152440,2896300,1570700,2719100,3806400,2507700,0,1947500,1327800,1.90083002,0.92662953,0.11663131,3.09997302
Vars2,0.00000000,134660000,70067000,85739000,102390000,53819000,88013000,77471000,48054000,1.46940608,0.55523314,0.11690962,3.09653445
Aars2,0.00000000,23697000,28237000,32794000,31938000,24291000,15948000,26700000,26076000,1.25427082,0.32684888,0.11933583,3.06690080
Nfu1,0.00000000,1656400,785510,2682800,2369300,1910500,0,1060300,0,2.52255621,1.33488642,0.12120385,3.04449260
Trap1,0.00000000,112930000,118940000,154510000,139290000,125370000,86603000,107210000,115360000,1.20970767,0.27465846,0.12168456,3.03878201
Tmem143,0.00000000,28406000,23365000,28497000,32068000,20748000,20798000,26948000,26225000,1.18599225,0.24609458,0.12346739,3.01779807
Mrps10,0.00000000,3495100,4681600,6193200,4683100,7388800,5576600,5723400,5481300,0.78828801,-0.34320527,0.12519537,2.99774686
Mpc1,0.00000000,26458000,37710000,26567000,29941000,27460000,3119800,26378000,16147000,1.65072608,0.72310074,0.12539157,2.99548769
Mlycd,0.00000000,26386000,33962000,54037000,54587000,26734000,26009000,28946000,28461000,1.53401725,0.61731471,0.13102123,2.93212754
Surf1,0.00000000,4163800,3768700,9954200,5996200,3640400,2994800,2438500,3204800,1.94509916,0.95984370,0.13116356,2.93056113
Tomm40l,0.00291550,2330900,1414300,1597000,1591300,2316800,1994900,2068400,2217300,0.80646475,-0.31031663,0.13139131,2.92805822
Hint2,0.00000000,238260000,199730000,158450000,86237000,206190000,411620000,238170000,232270000,0.62731633,-0.67273497,0.13271193,2.91363001
Actr1b,1.00000000,2932800,1654900,2570700,3655000,2009900,1749200,1626400,2087800,1.44693777,0.53300287,0.13623629,2.87581700
Echdc1,0.00288180,1038100,1641200,1726100,1327000,1326900,0,974200,1073300,1.69879090,0.76450828,0.13951931,2.84146329
Ide,0.00000000,11492000,18594000,16844000,10823000,14095000,21213000,18060000,23652000,0.74984420,-0.41533723,0.13973593,2.83922506
Ckmt2,0.00000000,263640000,596730000,102170000,236080000,775560000,1390400000,274160000,617920000,0.39195694,-1.35123293,0.14065408,2.82977668
Adck1,0.00000000,736300,462340,948300,1512900,2281100,1730500,1306500,890580,0.58947151,-0.76250600,0.14107554,2.82546023
Uqcr10,0.00000000,245400000,175950000,362150000,701780000,108730000,2672000,263570000,183930000,2.65749631,1.41006769,0.14261751,2.80977700
Acad8,0.00000000,6419800,6257900,7800700,9056900,13017000,13681000,8247300,7343300,0.69842227,-0.51782853,0.14284938,2.80743332
Dbt,0.00000000,51779000,54553000,87959000,104190000,58846000,46213000,49624000,44301000,1.50002513,0.58498667,0.14638688,2.77214183
Tomm7,0.00539080,723070,0,1606600,3428000,0,0,0,0,10.00000000,10.00000000,0.14688885,2.76720324
Apoa1bp,0.00000000,36344000,39557000,19693000,25468000,32244000,36650000,55261000,42316000,0.72722576,-0.45952479,0.14705358,2.76558624
Alas1,0.00000000,3722100,3118700,3375200,2173900,2605400,1304500,2819900,2499400,1.34246739,0.42488704,0.14776057,2.75866675
Adck3,0.00000000,165830000,148460000,184270000,262640000,124760000,149820000,134340000,158170000,1.34229135,0.42469785,0.14817429,2.75463295
Hadhb,0.00000000,1611500000,1727700000,2711100000,1787500000,1628700000,969200000,1662300000,1540400000,1.35120505,0.43424662,0.14992422,2.73769461
Fh,0.00000000,489830000,502690000,505920000,590510000,460820000,279570000,497620000,467160000,1.22506847,0.29286238,0.14997039,2.73725042
Spg7,0.00000000,9741400,4402600,12128000,16238000,8175900,4272600,5819400,5403800,1.79581526,0.84463894,0.15149065,2.72269932
Dtymk,0.00173310,2601400,6594200,4805400,5293400,8004800,5405200,9578600,5185400,0.68482999,-0.54618222,0.15331756,2.70540514
Mrpl4,0.00180510,14333000,11756000,7472200,6916400,12600000,21359000,9647200,18020000,0.65682453,-0.60642008,0.15397037,2.69927538
Bckdk,0.00000000,2375700,1811200,1382500,1818000,1780600,621730,1338000,1546000,1.39745343,0.48280021,0.15659261,2.67491202
Cox7a1,0.00000000,597310000,492760000,843660000,1464500000,363420000,25541000,563510000,710520000,2.04344461,1.03100314,0.15734260,2.66801877
Hk1,0.00000000,259380000,274240000,286970000,296480000,826460000,869800000,279740000,325580000,0.48534920,-1.04290500,0.15747706,2.66678646
Carkd,0.00000000,11703000,10658000,12445000,14562000,20333000,18499000,12109000,13313000,0.76832571,-0.38021007,0.15861418,2.65640633
Lace1,0.00000000,14809000,14442000,24714000,26588000,14099000,12627000,17160000,12881000,1.41901105,0.50488582,0.15988849,2.64486197
Cox7c,0.00174220,25592000,11265000,31663000,83203000,9402900,0,14406000,11714000,4.27113214,2.09461853,0.16012204,2.64275621
Usmg5,0.00000000,211010000,213090000,242820000,194660000,224200000,23748000,148720000,157150000,1.55570964,0.63757282,0.16185484,2.62722758
Suclg1,0.00000000,551830000,559670000,693740000,725400000,566660000,518990000,608980000,496850000,1.15476299,0.20759678,0.16370732,2.61080928
Uqcrh,0.00000000,72424000,117120000,166530000,192090000,104360000,4555400,96678000,110960000,1.73166360,0.79215869,0.16397191,2.60847942
Sccpdh,0.00000000,5602300,3908700,5848100,6647100,7328300,7605400,5848300,5921600,0.82409113,-0.27912421,0.16469858,2.60210000
Supv3l1,0.00000000,16080000,13639000,11649000,16437000,13977000,19688000,16419000,18279000,0.84555973,-0.24202142,0.16522692,2.59747938
Pcmt1,0.00000000,5521500,2610500,8269700,5911800,8030000,12773000,5670600,7884900,0.64943173,-0.62275023,0.16577966,2.59266105
Opa1,0.00000000,132830000,70717000,150460000,112520000,177680000,228310000,154270000,104750000,0.70153381,-0.51141546,0.16632921,2.58788659
Pabpc6,1.00000000,331780,361480,0,332270,0,0,0,304730,3.36537263,1.75076625,0.16789879,2.57433623
Mrpl50,0.00289440,3901800,4484700,0,3147100,6340300,5368000,4626200,2987600,0.59691234,-0.74440901,0.16830486,2.57085129
Ndufa3,0.00155040,36573000,38929000,64692000,49738000,40875000,6690600,34840000,41711000,1.53027073,0.61378691,0.16956186,2.56011639
