Gene.Symbol,qval,LFQ_KO_1,LFQ_KO_2,LFQ_KO_3,LFQ_KO_4,LFQ_WT_1,LFQ_WT_2,LFQ_WT_3,LFQ_WT-4,Ratio_KO.WT,log2FC,Ttest,minuslog_pval
Pdf,0.00000000,13858000,8172700,9261800,9202300,10161000,8929200,7945100,9365800,1.11246089,0.15375461,0.49320048,1.01975390
Ociad1,0.00000000,5094900,4363800,5907800,7128200,11309000,5153300,5648200,5219700,0.82307118,-0.28091089,0.49511231,1.01417228
Acox1,0.00000000,21328000,5348100,9316900,6637200,8100500,880210,14151000,6177700,1.45448851,0.54051190,0.49522610,1.01384075
Sirt5,0.00000000,21920000,34312000,31575000,21582000,29311000,45938000,22784000,28811000,0.86239002,-0.21358761,0.49529368,1.01364389
Mrpl9,0.00000000,17772000,15500000,21634000,30611000,25848000,47741000,16747000,18565000,0.78527286,-0.34873405,0.49577610,1.01223938
Gars,0.00000000,2552200,2413000,2151100,3079800,1845500,1055900,2573600,3212200,1.17369233,0.23105427,0.49591431,1.01183724
Sars2,0.00000000,1374300,1833700,2434800,1101100,1789700,2433100,1778800,1731900,0.87203724,-0.19753835,0.49637587,1.01049510
Timm8b,0.00170940,0,751650,0,0,878820,0,0,748400,0.46192279,-1.11427637,0.49713526,1.00828967
Maob,0.00000000,44253000,57635000,62672000,75316000,71867000,54800000,38684000,46914000,1.13007797,0.17642231,0.49762211,1.00687752
Hibadh,0.00000000,107780000,114320000,135530000,112820000,154120000,174010000,105510000,96203000,0.88790453,-0.17152353,0.49823756,1.00509431
Uqcr11,0.00533330,7199500,4181100,1293300,1810800,858240,0,13006000,11663000,0.56742131,-0.81750776,0.49877568,1.00353698
Echdc3,0.00000000,7335900,6940300,9536000,9819500,9179400,14904000,6394600,8921200,0.85361378,-0.22834463,0.49963368,1.00105738
Ppm1k,0.00540540,407650,0,901320,0,0,568180,0,0,2.30379457,1.20401208,0.50209918,0.99395572
mt-Nd3;Mtnd3,0.00000000,12536000,15888000,15051000,14660000,15641000,21411000,10620000,17462000,0.89254460,-0.16400383,0.50216297,0.99377244
Pygm,0.00177620,6612000,139720,0,0,87823,0,1447500,166360,3.96767201,1.98829277,0.50221087,0.99363485
Qrsl1,0.00176990,1493100,1938800,1443900,210020,798960,2411800,673780,3380200,0.70006910,-0.51443076,0.50311262,0.99104671
mt-Co1;Mtco1,0.00000000,169390000,178590000,110970000,97876000,45980000,186080000,93974000,128000000,1.22639714,0.29442624,0.50317306,0.99087341
Timm13,0.00000000,1378700,4344200,1688000,1577200,8712600,0,1428300,4950300,0.59558551,-0.74761945,0.50438795,0.98739428
Atp5i,0.00000000,641590000,543240000,560670000,436890000,515540000,3691900,699810000,502760000,1.26750354,0.34198977,0.50468662,0.98654026
Timm44,0.00000000,25512000,29464000,21952000,20007000,22815000,30951000,21963000,30093000,0.91601935,-0.12655002,0.50722537,0.97930120
Sdr39u1,0.00000000,120200000,76531000,159970000,97528000,98277000,95574000,78638000,123880000,1.14597509,0.19657568,0.50815216,0.97666755
Acadm,0.00000000,855970000,697550000,632990000,731710000,627230000,892420000,811540000,791020000,0.93466487,-0.09747893,0.51002016,0.97137383
Pgam5,0.00000000,0,53038,0,0,52131,0,0,59168,0.47653618,-1.06934235,0.51248574,0.96441624
Parl,0.00181820,4335800,9950800,4850600,6390600,5976000,4816400,3393700,7127200,1.19774038,0.26031522,0.51287920,0.96330903
Npepps,0.00000000,21713000,30393000,27889000,21508000,16972000,24289000,25924000,25753000,1.09215821,0.12718186,0.51288590,0.96329020
Pam16,0.00168070,17255000,13221000,11251000,9944900,14198000,0,14836000,11769000,1.26637502,0.34070470,0.51356671,0.96137642
Fastkd2,0.00000000,487370,698170,1011100,753260,531680,1080500,312650,475390,1.22901234,0.29749940,0.51883840,0.94664283
Higd1a,0.00000000,10929000,8691200,13489000,15799000,26098000,8704900,12571000,13057000,0.80932437,-0.30521006,0.52060345,0.94174321
D10Jhu81e,0.00000000,932580000,940870000,1312000000,1232400000,1016700000,2617300000,1093300000,878500000,0.78808555,-0.34357584,0.52500368,0.92960057
Lypla1,0.00000000,108780000,73838000,88695000,106030000,89048000,111170000,112150000,92471000,0.93208164,-0.10147177,0.52615362,0.92644402
Nnt,0.00153140,2753800,2356300,3289300,2760700,3918300,0,2546100,2336400,1.26807790,0.34264338,0.52626978,0.92612554
Mecr,0.00000000,10946000,10771000,25536000,10820000,17151000,36594000,12358000,10929000,0.75388150,-0.40759032,0.52694880,0.92426531
Grpel1,0.00000000,219390000,189790000,107000000,148120000,166870000,123370000,135300000,164790000,1.12530280,0.17031325,0.52711942,0.92379825
Lonp1,0.00000000,1153700000,829100000,964250000,872570000,658790000,484330000,1281300000,882180000,1.15515031,0.20808058,0.52926073,0.91794948
Ubox5;Fastkd5,0.00000000,430290,347380,270050,383440,280370,0,322610,517160,1.27766172,0.35350591,0.52929153,0.91786553
Irgm1,0.00150150,0,1394800,0,0,0,0,0,385430,3.61881535,1.85551750,0.52952726,0.91722314
Chchd3,0.00000000,134040000,144630000,184420000,154360000,119670000,310950000,118000000,198480000,0.82646232,-0.27497905,0.53306973,0.90760384
Uba52;Gm7808;Kxd1;Ubc;Ubb;Rps27a,0.00000000,7586400,4025200,9714900,2290200,2787100,6551100,4123200,5135500,1.26992671,0.34474524,0.53469088,0.90322303
Col6a3,0.00173610,0,110680,0,0,0,0,0,383940,0.28827421,-1.79448632,0.53667261,0.89788584
Dlat,0.00000000,794120000,660240000,924270000,857740000,789350000,581740000,818990000,833200000,1.07048305,0.09826195,0.53689958,0.89727581
Mrpl48,0.00178890,7664600,12631000,16884000,17911000,12068000,9986900,9162400,16397000,1.15701796,0.21041125,0.53784226,0.89474497
Tmem65,0.00000000,71478000,62947000,58961000,79508000,81909000,67487000,73831000,65096000,0.94648710,-0.07934525,0.53996457,0.88906336
Fam173b,0.00000000,1874500,1491500,1339200,1152400,1912900,965370,1903800,1792300,0.89097511,-0.16654297,0.54138087,0.88528417
Mrpl57,0.00289860,1443700,1805000,2762100,0,2205900,0,0,1711500,1.53438505,0.61766057,0.54272424,0.88170874
Ndufv1,0.00000000,548280000,640620000,594300000,476600000,388020000,500290000,507270000,682840000,1.08726821,0.12070788,0.54807666,0.86755041
Elmod1,1.00000000,13353000,2783000,2349600,3940700,3556300,8804300,774700,1151100,1.56976565,0.65054920,0.55002512,0.86243060
Fars2,0.00000000,3641700,2161900,1250700,3545100,1227300,1727800,3494400,2239000,1.21993440,0.28680357,0.55040002,0.86144757
Slc25a5,0.00000000,1664400000,1711200000,1337400000,1975500000,1627700000,1773700000,1843300000,1807500000,0.94842744,-0.07639069,0.55130543,0.85907628
Gm10108;Cycs,0.00000000,163490000,987950000,113980000,94797000,825880000,219160000,198230000,824870000,0.65770064,-0.60449702,0.55187390,0.85758944
Myo1c,0.00419580,1403500,0,811910,0,0,657270,569760,0,1.80550598,0.85240320,0.55252064,0.85589974
Slc25a40,0.00151980,2044700,2273900,1846000,2168000,1799300,1877600,1979100,4294500,0.83740516,-0.25600230,0.55296963,0.85472785
Ears2,0.00000000,3519800,3616700,2640800,2058200,1930700,1294700,3118700,3788200,1.16809609,0.22415896,0.55511506,0.84914126
Plec,0.00287360,2092700,1798100,2797200,1214000,9571500,614440,787120,2523100,0.58549988,-0.77225923,0.55731891,0.84342500
Vdac2,0.00000000,717820000,818560000,797630000,807040000,996230000,883000000,706340000,738300000,0.94499785,-0.08161705,0.55737356,0.84328353
Rdh13,0.00000000,5911600,4610600,5179100,5539200,5086800,4813300,7643000,5475200,0.92276580,-0.11596356,0.55992791,0.83668701
Uqcrfs1,0.00000000,2637700000,2255600000,2565100000,3346600000,2448400000,2633400000,2896600000,2127100000,1.06921973,0.09655837,0.55999061,0.83652545
Slc25a4,0.00000000,19529000000,19866000000,14073000000,20505000000,17468000000,19141000000,20347000000,21276000000,0.94555936,-0.08076006,0.56027162,0.83580167
Idh2,0.00000000,2592000000,2088600000,3174500000,3120300000,2898700000,2907600000,2276900000,2074200000,1.08053242,0.11174236,0.56217830,0.83090034
Grhpr,0.00000000,9897400,9813700,8081600,8302400,8719800,9205800,10411000,9240300,0.96056620,-0.05804305,0.56245836,0.83018181
Ndufa2,0.00000000,262550000,271910000,115880000,105100000,189120000,4537000,218830000,180560000,1.27382821,0.34917073,0.56385590,0.82660159
Sdhb,0.00000000,1322900000,848890000,1409700000,1214600000,1443600000,950480000,1057900000,923960000,1.09601366,0.13226578,0.56414229,0.82586902
Nt5dc3,0.00000000,13629000,17834000,15569000,22626000,12121000,16690000,13282000,20865000,1.10642015,0.14589934,0.56610547,0.82085724
Gpc1,0.00174830,3400800,1327900,0,1980800,483620,730680,6421200,2891700,0.63734896,-0.64984460,0.56680691,0.81907074
Acaa1a;Acaa1b,0.00000000,1230900,1046700,463190,1191300,659070,772000,2212800,1264800,0.80104998,-0.32003584,0.56788763,0.81632261
4930544G11Rik;Rhoa,0.00000000,3626600,1267400,1582300,1889900,2503400,0,2494500,1454200,1.29666310,0.37480369,0.56824976,0.81540293
1110008L16Rik;Kiaa0391,0.00000000,699010,544250,521500,813200,546520,512230,546540,757850,1.09090448,0.12552478,0.56826648,0.81536049
,0.00000000,39050000,55887000,145840000,54282000,72066000,56857000,34404000,67602000,1.27770440,0.35355411,0.56955191,0.81210075
Serpinh1,0.00170650,110650,0,0,0,0,0,321370,0,0.34430719,-1.53823181,0.57138929,0.80745411
Mtch1,0.00416670,4494700,2892700,8820900,9687200,10104000,1238600,6590200,1484300,1.33364406,0.41537367,0.57214449,0.80554857
Cars2,0.00000000,12349000,13744000,10549000,17321000,7562600,13713000,10307000,16603000,1.11989889,0.16336849,0.57725967,0.79270765
Akr7a2,0.00000000,6894000,3678000,15366000,6255700,8565800,25551000,7195800,3955500,0.71117851,-0.49171636,0.57847953,0.78966220
Mrpl21,0.00000000,28225000,49155000,50814000,40632000,21334000,21695000,40063000,60416000,1.17642222,0.23440594,0.57861587,0.78932220
Mpv17,0.00180830,10773000,5619600,8221100,12287000,17645000,9784600,8255400,7667300,0.85118206,-0.23246035,0.58102419,0.78332986
Cisd1,0.00000000,134730000,121260000,173220000,118500000,169580000,48240000,129370000,132760000,1.14118137,0.19052810,0.58198021,0.78095799
Srl,0.00000000,7696700,0,501820,274420,251490,208040,3028800,212830,2.28926607,1.19488515,0.58247233,0.77973857
Txn2,0.00000000,22484000,17635000,14989000,17406000,21013000,13497000,16966000,15897000,1.07630653,0.10608902,0.58352630,0.77713040
Uqcrc2,0.00000000,1085300000,785830000,725650000,794450000,890950000,532310000,844450000,854810000,1.08605549,0.11909782,0.58354854,0.77707543
Tmem126b,0.00000000,4272300,5344300,8727600,9219800,8355400,5632600,8412900,8466000,0.89299541,-0.16327534,0.58475607,0.77409317
Yars2,0.00000000,463980,3201000,1961500,507990,1273400,2047200,1052100,3875600,0.74372537,-0.42715810,0.58537867,0.77255793
Lyrm4,0.00160510,6406000,3909900,6737900,5175700,7615200,8102900,4426700,4739100,0.89332862,-0.16273712,0.58775642,0.76670971
Pptc7,0.00000000,4883500,4979300,4084200,4898600,5059000,7440300,4021600,4249300,0.90733840,-0.14028738,0.58913999,0.76331760
Clpx,0.00000000,3830100,2305300,4777500,5109400,4835300,3037900,3044500,3374400,1.12105989,0.16486335,0.59265541,0.75473458
Mrps36,0.00000000,63946000,55346000,121640000,126990000,108490000,4554100,117970000,64282000,1.24594263,0.31723764,0.59272071,0.75457562
Lap3,0.00000000,35409000,35747000,23067000,39653000,20223000,34358000,25783000,40517000,1.10750242,0.14730985,0.59415002,0.75110086
Spr,0.00000000,19854000,20270000,25525000,20190000,22008000,19388000,22756000,17685000,1.04890209,0.06888001,0.59777600,0.74232312
Timm17a,0.00154560,1132600,800980,0,0,0,984110,1037800,745550,0.69868399,-0.51728801,0.59781566,0.74222740
Mrpl49,0.00000000,6301500,7185900,6248300,11273000,10884000,7291500,6712200,9523900,0.90111183,-0.15022193,0.60121553,0.73404582
Dync2h1,0.00418990,196980,202830,0,407430,0,315360,0,236600,1.46249728,0.54843394,0.60297900,0.72982034
Trim72,0.00167790,2381100,272010,0,363920,162530,0,1422100,0,1.90393341,0.92898302,0.60348773,0.72860367
Pdha1,0.00000000,275930000,312800000,264770000,298640000,264720000,225370000,298700000,313510000,1.04521455,0.06379912,0.60370953,0.72807352
Ndufa5,0.00000000,510850000,482110000,429810000,196550000,407250000,13699000,421670000,490910000,1.21431180,0.28013891,0.60422257,0.72684801
,0.00151060,6764500,4988200,5791300,5450300,7036300,0,6452900,5717500,1.19720202,0.25966662,0.60600927,0.72258823
Itgb1,0.00164200,12182000,0,819780,909110,581930,0,4446400,1983500,1.98391718,0.98835180,0.60690463,0.72045826
Ndufaf6,0.00158480,3979000,4368100,2788600,2324100,4018100,3574300,3209100,3796400,0.92203673,-0.11710387,0.61041485,0.71213803
Mrpl11,0.00000000,10887000,19652000,54575000,22127000,26917000,10075000,26822000,20635000,1.26989070,0.34470433,0.61131775,0.71000563
Ccdc146,0.00292830,0,3536200,0,9196100,0,2213800,3748000,1679000,1.66635693,0.73669745,0.61194610,0.70852350
,0.00000000,7655200,3852400,3014300,15539000,6438000,34387000,3579900,3230200,0.63106617,-0.66413681,0.61538108,0.70044801
C1qbp,0.00000000,50486000,58046000,70774000,48374000,76850000,95697000,41744000,44015000,0.88143520,-0.18207359,0.61577624,0.69952189
Oxnad1,0.00000000,22105000,39919000,19255000,19808000,16243000,23742000,25852000,23651000,1.12961514,0.17583134,0.61634431,0.69819159
Mccc2,0.00000000,100470000,99863000,111740000,156320000,135400000,97185000,90503000,110050000,1.08139438,0.11289277,0.61667570,0.69741610
Slc25a11,0.00000000,1785300000,1704000000,2063900000,1455200000,1497300000,1943100000,1344900000,1827500000,1.05982337,0.08382385,0.61728312,0.69599576
Coq9,0.00000000,292100000,209720000,164510000,196470000,126130000,145740000,284400000,211440000,1.12386188,0.16846474,0.61729062,0.69597823
Guf1,0.00000000,9192700,10481000,13088000,6767900,9611800,6013800,11001000,9337900,1.09912831,0.13635981,0.61743662,0.69563704
Ndufaf5,0.00000000,5383900,3940500,8745400,3205000,3097900,5699700,5291800,4281200,1.15808956,0.21174682,0.61971572,0.69032154
Gsr,0.00176060,480010,1110700,1234900,562340,1066500,327590,912920,1862500,0.81255351,-0.29946527,0.61972093,0.69030940
Ppif,0.00000000,206790000,298930000,269790000,318320000,260860000,247280000,236300000,291650000,1.05572875,0.07823921,0.62075996,0.68789258
Mrps26,0.00000000,15076000,12731000,9861300,15599000,14771000,15135000,13552000,12825000,0.94641899,-0.07944907,0.62257754,0.68367455
Comtd1,0.00000000,4833700,6983800,4523100,4738200,5570100,5855700,4629700,3354900,1.08595392,0.11896289,0.62303745,0.68260920
Mrpl20,0.00173010,9239700,12364000,16427000,18633000,21504000,6353900,18148000,18946000,0.87239480,-0.19694692,0.62382467,0.68078749
Crat,0.00000000,460440000,478020000,490230000,443950000,334370000,517800000,393780000,523340000,1.05841326,0.08190304,0.62389634,0.68062175
Fdxr,0.00000000,1364800,3025500,3195100,3477800,2269500,2855500,1933400,2888300,1.11224828,0.15347887,0.62418461,0.67995531
Mrc1,0.00161550,1780600,1307900,568610,544390,0,0,1417800,5793200,0.58265151,-0.77929486,0.62622271,0.67525227
Ndufb2,0.00156010,186040000,163450000,66283000,97919000,126010000,1391200,149460000,144720000,1.21848887,0.28509307,0.62639703,0.67485072
Bcat2,0.00000000,36259000,31157000,65194000,34682000,46653000,66764000,43106000,32575000,0.88468413,-0.17676565,0.62650321,0.67460619
Gnpat,0.00165290,1233500,662720,400690,0,594190,388090,1185700,767640,0.78242756,-0.35397090,0.62678310,0.67396181
,0.00166940,151970,92588,78153,0,0,85931,71035,88361,1.31543206,0.39553673,0.62759342,0.67209788
Cdh7,0.00539810,0,0,0,39215,0,90074,0,0,0.43536426,-1.19970513,0.63136356,0.66345709
Sqrdl,0.00000000,5334200,5037500,4361800,7014600,3867100,9501000,5329900,5781900,0.88840641,-0.17070830,0.63176502,0.66254004
Ndufc2,0.00000000,519010000,476580000,377120000,336830000,428250000,123420000,490360000,471240000,1.12969926,0.17593876,0.63339080,0.65883218
Fcho2,0.00922270,4292700,4369800,181280,19924000,5584900,0,5070500,37797000,0.59373282,-0.75211424,0.63573951,0.65349234
Qdpr,0.00000000,2193300,2557800,3529000,4157500,3381700,3097600,2245000,2675200,1.09106540,0.12573758,0.63587759,0.65317902
Scp2,0.00172120,3932800,1459000,1584600,2461400,2091600,1546800,2857300,1652300,1.15829651,0.21200462,0.63945912,0.64507596
Rars2,0.00000000,4344100,3632100,4977000,4665500,4589600,3614700,4469500,6144800,0.93623862,-0.09505183,0.64011839,0.64358933
Ccdc90b,0.00000000,99073000,59956000,87840000,130400000,120030000,23966000,108550000,73476000,1.15718878,0.21062424,0.64257289,0.63806799
Hspa9,0.00000000,927840000,974890000,1611000000,1670900000,1701000000,1177300000,775580000,982720000,1.11819652,0.16117376,0.64368483,0.63557362
Nt5dc2,0.00000000,531680,594420,395510,516450,0,0,452110,1066400,1.34214460,0.42454012,0.64506199,0.63249029
Decr1,0.00000000,1140900000,1402400000,1054800000,1101900000,1050500000,1731600000,1122700000,1142000000,0.93128319,-0.10270816,0.64599245,0.63041078
mt-Nd4l;Mtnd4l,0.00000000,2851800,3031100,3057000,4039000,2382400,4515900,2275300,2643700,1.09829657,0.13526767,0.64627580,0.62977812
Hspd1,0.00000000,983450000,678580000,1238000000,1646900000,1473400000,934570000,942590000,690210000,1.12526325,0.17026256,0.64842362,0.62499144
Acot9;Acot10,0.00000000,7968200,8624600,9115400,9132400,7922800,5247500,10067000,9403800,1.06738437,0.09407979,0.64892897,0.62386752
Ndufa13,0.00000000,537510000,405440000,409090000,451300000,404170000,660510000,408330000,462250000,0.93183345,-0.10185598,0.64928955,0.62306610
Hccs,0.00000000,2253600,2918400,1883700,3035200,3823100,1401200,2380800,1208900,1.14487180,0.19518605,0.65151577,0.61812799
Atp1a1,0.00000000,513400000,132430000,170120000,226890000,97553000,122520000,437200000,163640000,1.27034168,0.34521659,0.65165117,0.61782820
Aldh4a1,0.00000000,155580000,157600000,196090000,224860000,195220000,167090000,154830000,180790000,1.05186767,0.07295321,0.65216852,0.61668330
Ethe1,0.00000000,16499000,17401000,17690000,19812000,20412000,15895000,21686000,16474000,0.95884083,-0.06063675,0.65414550,0.61231654
Fahd1,0.00000000,88468000,71356000,104420000,76566000,96633000,108490000,79627000,75868000,0.94507207,-0.08150374,0.65583101,0.60860399
Ogdh,1.00000000,4507500,5960400,78251000,2121100,2343800,7865500,4323000,37549000,1.74419609,0.80256225,0.65700053,0.60603357
Ak4,0.00000000,48172000,53755000,39582000,39547000,43088000,40149000,48534000,41874000,1.04267903,0.06029512,0.65884266,0.60199412
Acad11,0.00150380,4307200,1397000,0,1334000,1121100,2322000,3459100,2038600,0.78720025,-0.34519742,0.66483153,0.58893929
Mars2,0.00000000,10536000,12483000,12528000,18062000,13851000,10625000,9628600,15614000,1.07824838,0.10868955,0.66537651,0.58775716
Coq5,0.00000000,32961000,30958000,97971000,51514000,47751000,54008000,29348000,51308000,1.16988186,0.22636285,0.66542515,0.58765169
Casq2,0.00000000,11476000,0,2458400,2851800,0,1277300,8508500,1217500,1.52556051,0.60933941,0.66546283,0.58757002
Pck2,0.00165560,360290,424070,625160,0,339840,508890,336090,482580,0.84534005,-0.24239629,0.66666832,0.58495891
Nadk2,0.00292400,1501500,1308100,1548800,3167900,895230,1572100,1448000,5922600,0.76502882,-0.38641399,0.66687376,0.58451441
Abcb10,0.00000000,16024000,14715000,26227000,24944000,23316000,26723000,16082000,22481000,0.92447123,-0.11329967,0.66917103,0.57955310
Gk;Gyk,0.00000000,12322000,12061000,13545000,20233000,11686000,14611000,11110000,16585000,1.07721514,0.10730642,0.67040266,0.57690023
Cyc1,0.00000000,1447800000,1429700000,2215100000,1706800000,1968800000,1838800000,1272500000,1251300000,1.07391730,0.10288290,0.67068187,0.57629950
Bcs1l,0.00000000,3483600,2438100,2109400,2188400,2238500,1570300,2638500,2991700,1.08268884,0.11461868,0.67304336,0.57122864
Bak1,0.00178250,7488800,3390600,4203000,5746200,3310300,0,6971100,7093700,1.19876145,0.26154459,0.67330778,0.57066197
Hk2,0.00000000,209820000,139790000,317460000,278920000,168530000,384120000,167760000,94299000,1.16113852,0.21554009,0.67523559,0.56653715
Mrpl47,0.00156740,12909000,5772200,4913000,4911300,6115900,0,9233400,8175300,1.21173155,0.27707012,0.67557757,0.56580667
Tmem256,0.00158980,12277000,11397000,10267000,7009400,18548000,6411800,11647000,9405600,0.88998618,-0.16814517,0.67678026,0.56324061
Mrps7,0.00000000,8481500,5950500,14495000,11165000,10155000,10025000,13271000,10213000,0.91819348,-0.12312991,0.67697197,0.56283200
Grsf1,0.00410960,3255100,3600200,3435800,2111700,2422500,4108200,3211000,3512200,0.93578494,-0.09575109,0.67712365,0.56250879
Slc25a3,0.00290700,818800,1475200,0,0,0,1811400,0,1544600,0.68355185,-0.54887732,0.67714172,0.56247029
Glod4,0.00000000,14937000,13114000,9542700,12197000,15018000,8139900,10744000,12660000,1.06934425,0.09672637,0.67727576,0.56218473
Mrpl40,0.00163130,4378900,8418300,12772000,15686000,6889500,13217000,6008100,10026000,1.14151951,0.19095552,0.68421633,0.54747555
Dld,0.00000000,1374000000,1588900000,691300000,820870000,920520000,1165300000,1222900000,1610200000,0.90976678,-0.13643134,0.68498332,0.54585924
Aco2,0.00000000,11161000000,15769000000,15715000000,10284000000,10341000000,19944000000,11922000000,15126000000,0.92318560,-0.11530737,0.68547482,0.54482441
Txnrd2,0.00000000,23582000,31812000,22880000,37947000,17508000,26559000,24342000,38270000,1.08944591,0.12359457,0.68637671,0.54292749
Ndufa10,0.00000000,468560000,580750000,552920000,582490000,510690000,504990000,562250000,554380000,1.02457898,0.03503120,0.68682333,0.54198905
Uba1,0.00412090,139330000,179230000,1016200000,842420000,305380000,1012900000,1167900000,241120000,0.79829135,-0.32501272,0.68960074,0.53616677
Hsdl2,0.00000000,144950000,131030000,182390000,237140000,219090000,134980000,141620000,148450000,1.07974974,0.11069697,0.69106481,0.53310707
Dhrs7b,0.00423730,324980,0,236000,251350,297000,0,381720,317090,0.81574798,-0.29380458,0.69252846,0.53005474
Qil1,0.00000000,44043000,32034000,12077000,7759100,21474000,0,26403000,30007000,1.23148657,0.30040089,0.69321760,0.52861981
Ccsmst1,0.00000000,1569900,0,1677200,2209900,1556400,0,1192700,1695200,1.22786491,0.29615184,0.69417212,0.52663468
Oxa1l,0.00162070,3173200,2591700,5940800,5490900,5606400,6840800,4592400,2256800,0.89118178,-0.16620837,0.69600971,0.52282067
Agk,0.00166390,6226100,3458400,3164400,4136800,4913500,4468700,3678000,2510700,1.09086180,0.12546834,0.69892577,0.51678887
Acadl,0.00000000,802610000,781000000,561020000,668290000,520300000,584720000,693980000,862330000,1.05696024,0.07992111,0.69989562,0.51478832
Suclg2,0.00000000,27503000,23740000,24408000,25250000,23883000,19572000,24824000,29109000,1.03607221,0.05112455,0.69994794,0.51468047
Popdc2,0.00420170,1901000,0,0,966610,0,0,1834100,0,1.56349708,0.64477653,0.70324162,0.50790765
Prdx3,0.00000000,1296200000,1613500000,1056100000,1036200000,1373500000,857120000,1546900000,1566000000,0.93608707,-0.09528536,0.70329107,0.50780619
Cyb5r1,0.00000000,9880900,7843600,9258300,9676900,9686600,11876000,7319200,9462900,0.95605651,-0.06483220,0.70401778,0.50631624
Slc25a51,0.00000000,5741000,10166000,4966700,6017000,5454400,6653700,5477700,7257700,1.08240385,0.11423887,0.70430485,0.50572808
Smim20,0.00000000,0,0,2881800,2937200,2923200,0,1167000,0,1.42266882,0.50859986,0.70529772,0.50369572
Pmpca,0.00000000,42267000,44564000,37148000,26072000,33313000,27005000,38880000,42426000,1.05950263,0.08338716,0.70632558,0.50159476
Gadd45gip1,0.00167220,9246200,3646200,7228100,8441400,9348200,0,10115000,4900600,1.17230892,0.22935279,0.70892220,0.49630078
Slc25a13,0.00000000,478080000,314470000,614520000,341590000,467530000,594130000,507920000,319630000,0.92560382,-0.11153327,0.70953742,0.49504933
Armc10,0.00000000,1307500,1283600,1107600,1173000,1653300,0,918670,1667100,1.14923792,0.20067751,0.71627790,0.48140866
Lyrm7,0.00000000,8384800,7450200,6353300,7694600,10482000,0,8163400,7596200,1.13876059,0.18746448,0.71861629,0.47670646
Gm9755;Tufm,0.00000000,544260000,629820000,458430000,435600000,429720000,544240000,555320000,630250000,0.95766672,-0.06240444,0.71915903,0.47561726
Tars2,0.00000000,15449000,14259000,10628000,15045000,10623000,13325000,14117000,15111000,1.04146608,0.05861585,0.71932370,0.47528695
Slc25a10,0.00000000,3592500,5938200,2126600,2050800,2393000,2974100,3630100,3237600,1.12041881,0.16403810,0.71946600,0.47500159
Uqcrc1,0.00000000,1055300000,1280400000,1433700000,1082200000,1182200000,1262800000,1031800000,1219000000,1.03317859,0.04708965,0.71972977,0.47447277
Acsf2,0.00000000,18024000,17201000,26349000,30800000,27462000,25835000,17371000,27914000,0.93702704,-0.09383741,0.72014262,0.47364544
5-Mar,0.00161030,3919200,3619600,5212200,4912800,4986200,0,5896100,4658100,1.13663741,0.18477210,0.72186377,0.47020150
Gm3086,1.00000000,0,0,480300,0,0,0,0,847030,0.56704013,-0.81847726,0.72269173,0.46854772
Thnsl1,0.00000000,3628900,3249600,3069600,4627900,3914300,6458800,2425500,3207000,0.91068126,-0.13498190,0.72358841,0.46675880
Xpnpep1,0.00544220,0,0,0,650010,0,0,363690,614250,0.66467268,-0.58928404,0.72377323,0.46639035
Kct2,1.00000000,0,0,663410,459560,750750,0,0,0,1.49579754,0.58091491,0.72420647,0.46552702
Myh9,0.00157730,1898300,2616300,0,0,1069700,2762400,1999700,0,0.77413492,-0.36934308,0.72587527,0.46220644
Ndufb3,0.00000000,116640000,105710000,135380000,97934000,153200000,14128000,115230000,125520000,1.11661006,0.15912546,0.72739683,0.45918546
Mrpl39,0.00168630,9408300,7804200,15962000,4582900,4713400,12479000,9498600,6809300,1.12707647,0.17258541,0.72995480,0.45412096
Gfm1,0.00000000,76993000,70223000,65299000,92396000,71242000,85452000,59179000,77382000,1.03974698,0.05623249,0.73110092,0.45185753
Pdk1,0.00000000,16794000,13665000,13916000,19881000,15944000,12030000,21670000,18209000,0.94698834,-0.07858143,0.73182514,0.45042912
Abcb7,0.00000000,46943000,49094000,55073000,45188000,47295000,40916000,36215000,62786000,1.04853321,0.06837256,0.73262650,0.44885022
Pnpla8,0.00421940,1004200,463700,398770,367730,968500,304500,806870,458400,0.88028460,-0.18395806,0.73501681,0.44415085
Oxct1,0.00000000,708450000,1056000000,693700000,262570000,505920000,797780000,657160000,1042700000,0.90583175,-0.14268499,0.73520598,0.44377959
Erc2,0.00422540,332520,544450,2913000,480790,675570,0,1050800,1550800,1.30318537,0.38204231,0.73775738,0.43878165
Mrps6,0.00414360,5079200,2170800,5682800,1711500,5576800,6480300,3595800,1162400,0.87089139,-0.19943528,0.73837647,0.43757152
Oma1,0.00000000,5017900,3477700,4301800,3261400,2237900,2189200,5430400,4856900,1.09136628,0.12613538,0.73873548,0.43687023
Acat1,0.00000000,538930000,534190000,644420000,620450000,560270000,542550000,653180000,526710000,1.02421683,0.03452117,0.74105779,0.43234204
Sirt3,0.00000000,19914000,26459000,18121000,12285000,13982000,19092000,18137000,20982000,1.06352416,0.08885281,0.74197626,0.43055507
Me3,0.00000000,45801000,43982000,54054000,58281000,54405000,48916000,45582000,47823000,1.02740868,0.03901017,0.74283511,0.42888609
Mgll,0.00000000,1114400,519540,0,0,0,0,620220,575560,1.36642192,0.45040302,0.74301923,0.42852855
