Gene.Symbol,qval,log2FC,minuslog_pval
Prkcsh,0.00000000,0.74799518,3.42892258
Ociad1,0.00000000,-2.89017171,3.42880628
Pdk1,0.00000000,-0.58183472,3.42565215
Mttp,0.00000000,1.01059035,3.39697454
Rpusd4,0.00631100,3.37411497,3.39329319
,0.00000000,1.13548813,3.38109644
Lpgat1,0.00000000,1.25415941,3.38026582
Rab4b,0.00176470,-0.90092122,3.37816298
Lclat1,0.00059737,0.71818689,3.37304390
Ech1,0.00000000,-0.50457358,3.36539211
Ugt1a6b,0.00000000,-1.48001604,3.36062837
Grsf1,0.00000000,-0.62348733,3.34988606
Txnrd2,0.00000000,-0.50982619,3.34273072
Rpl19,0.00000000,1.16096774,3.32978938
Pm20d1,0.00000000,0.32990622,3.32104725
Sacm1l,0.00000000,0.47108923,3.30528301
Adck4,0.00000000,-1.22434158,3.28521048
Trnt1,0.00000000,-0.59869385,3.27972363
Ado,0.00000000,0.96296327,3.27720505
Ldha,0.00000000,-0.72840287,3.27327536
Mogs,0.00000000,1.20758120,3.26964584
Myl6,0.00000000,0.69675819,3.25509845
Ndufa7,0.00000000,-0.61823090,3.25086908
Cyp7b1,0.00000000,1.76963593,3.24977217
Mpdu1,0.00000000,-0.82442562,3.24581435
Rps13,0.00000000,1.16909549,3.24552670
Clybl,0.00000000,-0.64932158,3.23793092
Trmt10c,0.00000000,-0.79091406,3.22846804
Mccc1,0.00000000,-0.70900072,3.22701418
Lonp2,0.00000000,0.88942317,3.22380091
Slc25a32,0.00000000,-0.59996499,3.22344841
Rab5b,0.00000000,-1.37468191,3.21764582
Immt,0.00000000,-0.21593557,3.21092677
Gcsh,0.00000000,-1.10899765,3.19405276
Hpd,0.00000000,-0.63411058,3.17992065
Cdk5rap3,0.00000000,0.76173931,3.17902645
Me2,0.00000000,0.54041844,3.17048284
Tomm40l,0.00000000,-1.53582991,3.16438178
Pgam5,0.00000000,0.94267532,3.15338377
Ggcx,0.00000000,1.07424147,3.14310432
Mrps17,0.00000000,-1.14928404,3.13610642
Sts,0.00000000,0.63906404,3.13302807
Retsat,0.00000000,0.56611584,3.13199188
Fh,0.00000000,-0.43153779,3.11025858
H6pd,0.00000000,1.14980846,3.10738682
Coa3,0.00000000,-0.80293390,3.09984089
Pcca,0.00000000,-0.54619383,3.09155815
Xirp2,1.00000000,1.15951754,3.08118176
Praf2,0.00577370,1.72946113,3.07964734
Hint3,0.00520230,1.65247248,3.07938181
Hadh,0.00000000,-0.60626727,3.05909869
Tcaim;TCAIM,0.00000000,-0.58349103,3.05728192
Ugt3a2,0.00000000,0.85978886,3.04406366
Mccc2,0.00000000,-0.28685033,3.04083760
Dlat,0.00000000,-0.79079868,3.02142134
Mipep,0.00000000,-0.61713397,3.01678139
Hsd3b7,0.00000000,0.50623952,3.00463274
Cyp2c44,0.00000000,0.56781432,2.96865072
Armc10,0.00000000,0.48584603,2.94947518
Hoga1,0.00000000,-0.50843034,2.93114886
Gpam,0.00000000,0.82781779,2.92401563
Fgg,0.00000000,0.84380103,2.91017407
Prepl,0.00000000,1.69285068,2.90520947
Rars2,0.00000000,-0.41288201,2.90245306
Cyp2a22,1.00000000,-1.12851446,2.89705366
Glb1,0.00000000,-1.69726609,2.89617381
Immt,0.00000000,-1.24151902,2.89445218
Bdh2,0.00000000,-1.53520578,2.89219908
Gstt1,0.00176570,1.97306823,2.89165793
Acsm5,0.00000000,-0.31116665,2.88817367
Pde12,0.00000000,-0.72680239,2.88327827
Surf1,0.00000000,0.63029936,2.88102585
Dnajc11,0.00000000,-0.55985638,2.86576457
Mrpl48,0.00000000,0.91817029,2.86193617
Egfr,0.00000000,1.84290177,2.85252608
Lman2,0.00000000,0.66252050,2.84939981
Cyp3a11,0.00000000,0.44901258,2.84911437
Hsp90b1,0.00000000,0.82806091,2.84785963
Hmox2,0.00000000,0.92423674,2.84421598
Lmf1,0.00000000,1.00534785,2.83857747
Rpp14,0.00000000,-1.43312912,2.82958026
Prdx1,0.00000000,-0.44467017,2.82501037
Ndufb7,0.00000000,-0.71071796,2.80555190
mt-Atp6;Mtatp6,0.00000000,-1.68673644,2.80334670
Yme1l1,0.00000000,0.16642836,2.79797278
Mthfd1,0.00000000,0.76458121,2.79240241
Noa1,0.00000000,-1.46716708,2.79185424
Cisd1,0.00000000,-0.69758058,2.78159474
Mcee,0.00000000,-0.68727080,2.77367761
Acot2,0.00000000,-0.45300420,2.76209695
Rps25,0.00000000,2.15661619,2.74767692
Gm10020;Rpl15,0.00000000,0.89908573,2.74322467
Agxt,0.00000000,-1.10585877,2.74313496
Blvrb,0.00000000,0.94448545,2.74211214
Selo,0.00000000,-0.75714152,2.73668976
Rhot1,1.00000000,1.32670122,2.72487131
Mrps25,0.00000000,0.45549888,2.71051012
Mar-02,0.00000000,0.53079912,2.70485922
Smpdl3a,0.00000000,-2.80232242,2.70363639
Arpc3,0.00000000,1.21920307,2.69662012
Apmap,0.00000000,0.44762148,2.68811064
Gars,0.00000000,-0.49255605,2.68767032
Nme6,0.00000000,-0.88382413,2.68058986
Mp68,0.00000000,1.15406969,2.68027567
Mup17;Mup13;Mup11,0.00000000,2.31552896,2.67705170
Vcl,0.00059524,1.03554298,2.67593605
Ermp1,0.00000000,0.56234030,2.66557387
Alms1,1.00000000,-1.83127646,2.66440121
Enpep,0.00000000,-0.78260219,2.65880193
Aldh6a1,0.00000000,-0.15987176,2.64611312
Ccdc47,0.00000000,0.34218152,2.64332746
Glyat,0.00000000,-0.34712220,2.64007797
Dmgdh,0.00000000,0.78795959,2.62203457
Emc4,0.00000000,1.01662366,2.62127123
Reep5,0.00000000,0.79396878,2.61380456
Tmem86b,0.00000000,1.99259867,2.61342592
Pxmp2,0.00000000,0.71132203,2.61075328
Ctage5,0.00000000,0.60064632,2.60669249
Ugt2b35,0.00000000,0.75847479,2.60538460
Cyp4a12a,0.00000000,0.76356229,2.60428274
Mtx3,0.00000000,-1.02766857,2.60355904
Gsr,0.00000000,-0.31679190,2.60003712
Tmem126b,0.00000000,1.04587870,2.58592138
Hscb,0.00000000,1.04427254,2.57603354
Bckdk,0.00000000,-1.01488261,2.57563980
Letmd1,0.00000000,-0.71614125,2.57108619
Esyt1,0.00000000,0.68793863,2.56648911
Mrpl10,0.00000000,0.62484464,2.55668353
Eif5a;Eif5a2,0.00000000,2.75177919,2.54953124
Tbrg4,0.00000000,-0.38074928,2.54864730
Mrpl11,0.00000000,-0.53931026,2.53951559
Mecr,0.00000000,0.52578444,2.53691775
Mrps18c,0.00000000,-1.40255300,2.53344576
Ndufb5,0.00000000,0.35155949,2.52467973
Pgrmc1,0.00000000,-0.44316073,2.51939743
Angel2,0.00000000,-1.69314884,2.51622435
Atpaf2,0.00000000,-0.41807174,2.51335757
Ugt2b34,0.00000000,0.32569033,2.51093109
Tars2,0.00000000,-0.39026476,2.50644870
Agpat3,0.00000000,-1.78728354,2.49855892
Pcx;Pc,0.00000000,-0.27471788,2.49151545
Hspa8,0.00000000,-0.42333423,2.48853919
Ndufa9,0.00000000,-0.45431486,2.48397727
Agmat,0.00000000,-0.56861992,2.48293920
Gns,0.00000000,-2.24472665,2.47990087
Fads2,0.00000000,-0.71642829,2.47855380
Park7,0.00000000,-0.62316572,2.47579908
Mbl1,0.00000000,1.33513175,2.46588108
Apoe,0.00000000,0.67136886,2.46383255
Mut,0.00000000,-0.56029179,2.45794455
Mrps23,0.00000000,-0.40451587,2.44764114
Atp6v1f,0.00000000,-5.00000000,2.44153058
Gpi,0.00000000,5.00000000,2.44053378
Vps13a,0.00000000,-1.39192408,2.43774843
Mtnd1,0.00000000,-0.82183596,2.42592201
Bcap31,0.00000000,1.15778885,2.42434594
Ppa2,1.00000000,5.00000000,2.40719153
Mrps10,0.00000000,1.28962978,2.40514988
C8g,0.00000000,1.72843270,2.40366226
Erap1,0.00000000,0.45145296,2.39641743
Immp2l,0.00000000,0.90481306,2.39397340
Oxct1,0.00000000,-0.99230874,2.38894516
Ptcd3,0.00000000,-0.43357048,2.38717286
Ogdh,0.00000000,-0.53064250,2.38669004
Rpl27,0.00000000,0.55603369,2.38295108
Nipsnap3b,0.00000000,-1.02406067,2.38094836
P4hb,0.00000000,0.22357642,2.37614477
Rexo2,0.00000000,0.65452616,2.37582528
Cpt1a,0.00000000,0.48785545,2.37576506
Mthfs,0.00000000,0.68755014,2.37339283
Rplp2,0.00000000,0.55901636,2.37029754
Foxred1,0.00000000,0.76221096,2.36567443
mt-Cytb;Mt-Cyb,0.00177510,1.14722373,2.36363631
Preb,0.00000000,0.34713699,2.35968481
Lace1,0.00000000,-0.62634229,2.35954764
Ctnna1,0.00000000,-5.00000000,2.35407744
Mto1,0.00000000,-0.35569818,2.34346329
Maob,0.00000000,-0.29858609,2.34164504
Bak1,0.00000000,-1.94512846,2.33722704
Pdcd6,0.00000000,1.29814350,2.33559758
Acox1,0.00000000,-0.31635344,2.33128029
Stoml2,0.00000000,0.42843914,2.32757157
Acox1,0.00000000,-3.17295205,2.32604777
Uqcrq,0.00000000,0.35005441,2.32409639
Mettl7b,0.00000000,1.07152114,2.32363288
Ndufv1,1.00000000,-5.00000000,2.32298911
Sardh,0.00000000,0.66511761,2.31213035
Pcyox1,0.00000000,0.51085344,2.31095653
Dhrs7b,0.00000000,-0.65456750,2.30611779
Anxa5,0.00000000,5.00000000,2.30066292
Rmdn1,0.00000000,0.85784135,2.29796877
Slc25a16,0.00000000,-0.66427234,2.29317531
Fmo5,0.00000000,0.46243677,2.28663046
Rpl11;Gm10036,0.00000000,0.83579817,2.28402020
Pdf,0.00000000,-0.33922214,2.28383618
Arl6ip5,0.00000000,0.41863819,2.27907051
Ak2,0.00000000,0.52314975,2.27856421
Calm1,0.00000000,-2.73911745,2.26078282
Calu,0.00000000,1.24207122,2.26006805
Lamtor2,0.00000000,5.00000000,2.25817576
Aars2,0.00000000,0.66857702,2.24472790
Aldob,0.00000000,0.28650572,2.23358723
Ndufc2,0.00000000,-0.64999999,2.23275588
Nlrx1,0.00000000,0.50018278,2.23112519
Aldh3a2,0.00000000,0.30528986,2.23002930
Spcs3,0.00000000,0.61346957,2.22740824
Abat,0.00000000,-0.27296996,2.22714960
Ccdc150,0.00233100,1.57322648,2.22106643
Vmp1,0.00000000,2.18080375,2.21710704
Guk1,0.00000000,1.26177976,2.21370563
Acot12,0.00000000,-0.77158974,2.21366398
Ugt2b38,0.00000000,1.38751779,2.21227629
Erlin2,0.00000000,0.63367787,2.21169925
Cox15,0.00000000,-0.55690209,2.20928673
Nfu1,0.00000000,-0.70981804,2.19960394
Rfk,0.00000000,-3.41664245,2.19887920
Fn1,0.00000000,-5.00000000,2.19386200
Lgmn,0.00000000,-1.17010911,2.19336567
Slc25a42,0.00000000,-0.47559593,2.18490346
Gldc,0.00000000,-0.45397215,2.18205328
Ndufa2,0.00000000,0.63409082,2.18065133
Amt,0.00000000,-0.58642982,2.17970572
Tpp1,0.00000000,-1.06814023,2.17880044
Atp5s,0.00000000,-0.74598826,2.17012109
Cbs,0.00000000,-5.00000000,2.16966673
Lgals9,0.00000000,-0.49294190,2.16889920
Ndufa8,0.00000000,0.81454938,2.16571936
Ilvbl,0.00000000,-0.64652204,2.15977614
Ugt1a8,1.00000000,0.91824807,2.15814731
Cryz,0.00000000,-0.37103106,2.15447931
Mup1;Mup7,0.00000000,0.99897541,2.14850049
Echdc3,0.00000000,-0.98307027,2.14784792
Pik3c2a,1.00000000,-3.29113126,2.14692518
Anp32b,0.00000000,1.50213256,2.14488398
Spcs1,0.00520830,-3.08017215,2.14445975
Ttn,1.00000000,0.61727010,2.13426591
Srxn1,0.00000000,-0.67444159,2.12907225
Elmod2,0.00000000,0.85721027,2.12273701
Slc25a37,0.00000000,1.51704893,2.11835306
Fastkd5;Ubox5,0.00000000,-0.63677361,2.11085873
Acot9;Acot10,0.00000000,-0.28231963,2.10611236
Man2b1,0.00000000,-0.91708642,2.10379309
Rps19,0.00000000,0.93584489,2.09497103
Atad1,0.00000000,-0.37800631,2.09491009
Ugt2b1,0.00000000,0.74662172,2.09350164
,0.00000000,-2.40601670,2.08214093
Ppt2,0.00000000,-1.65671923,2.08132640
Myh9,0.00000000,1.87905439,2.07813706
Serpina1c;Serpina1a,0.00000000,0.53689964,2.07368052
Zadh2,0.00000000,-0.36150127,2.07317812
Gnmt,0.00000000,-1.08413416,2.07301905
Acbd5,0.00000000,1.16830549,2.07093611
C4b,0.00000000,4.04668533,2.06923947
Cyc1,0.00000000,0.27531175,2.06345277
Magt1,0.00000000,0.63170607,2.06153384
Mrpl15,0.00000000,-0.45895890,2.05678677
Cth,0.00000000,1.63705625,2.05655458
Acot4,0.00000000,-0.51780227,2.05264096
Ercc5,1.00000000,0.97812598,2.04673517
Ddrgk1,0.00000000,1.66947853,2.04551329
Tceb1,0.00000000,3.84272763,2.04269017
Ccdc51,0.00000000,0.37096471,2.04201138
Atp6v0c,1.00000000,5.00000000,2.04042966
Ndufs3,0.00000000,0.79508985,2.03594863
Dnajc30,0.00000000,1.41624915,2.03520472
Rps5,0.00000000,0.63463570,2.03362652
Slc25a45,0.00000000,0.82930330,2.02011267
Rab8a,0.00000000,-0.68921760,2.01809232
Cox5b,0.00000000,-0.24716082,2.01721808
Txn,0.00000000,0.25372007,2.01582087
Acadvl,0.00000000,-0.41958409,2.01548418
Rab22a,0.00000000,-0.73656125,2.01445877
Tmem177,0.00000000,1.17510946,2.00903380
Aldh1l1,0.00000000,2.44163136,2.00600918
Sec61g,0.00000000,-1.11875206,2.00435656
Glul,0.00000000,1.82331807,2.00256782
Mfn2,0.00000000,-0.30552422,2.00096180
Stt3a,0.00000000,0.65149926,1.99617878
Acot13,0.00000000,-0.93785849,1.99216610
Hsd17b11,0.00000000,0.59207779,1.99084516
Prodh,0.00000000,-0.20944222,1.99060215
Rpl31,0.00000000,-0.30224469,1.98306775
Rab1,0.00000000,-0.52898818,1.97964777
Creld2,0.00000000,0.76696334,1.97776053
Ftsj2,0.00000000,-0.92769074,1.97385294
Idh3a,1.00000000,-0.22941675,1.97308449
Gm561,0.00000000,0.90873702,1.97158340
Ndufaf1,0.00000000,-0.43176340,1.97065603
Slc25a25,0.00000000,-0.27208562,1.96639155
Mup10,0.00000000,1.22869519,1.96565947
Mrpl2,0.00000000,0.33809453,1.96349708
Gusb,0.00000000,-1.12312089,1.95870808
Gnb2;Gnb4;Gnb3,0.00000000,0.36347658,1.95822658
Cyb5r3,0.00000000,-0.51272557,1.95522882
Cyp4a12b,0.00000000,5.00000000,1.95292903
Etfdh,0.00000000,-0.28559965,1.94942359
Bax,0.00000000,-1.40705735,1.94924502
Mars2,0.00000000,-0.40912925,1.94890355
Hsd17b6,0.00000000,-1.37019479,1.94588176
Nfu1,0.00000000,-0.91288626,1.94492554
Dap3,0.00000000,-0.37362933,1.94082833
Bckdha,0.00000000,0.18164887,1.93990873
Lrpprc,0.00000000,-0.44698400,1.93251809
Ywhab;Sfn;Ywhae,0.00000000,1.29020691,1.93248302
Sec61a1,0.00000000,0.53538342,1.93111977
Gtpbp8,0.00000000,1.12051287,1.93041723
Nbas,0.00000000,2.97453099,1.93011716
Agk,0.00000000,-0.55021666,1.92528125
Apopt1,1.00000000,-5.00000000,1.92408633
