Gene.Symbol,qval,log2FC,minuslog_pval
Ldhd,0.00000000,0.31771883,1.62010666
Dhtkd1,0.00000000,0.55378513,1.61772009
Atp5h;Gm10250,0.00000000,-0.25135651,1.61641931
Hax1,0.00000000,0.43433294,1.61609162
Mrpl28,0.00000000,0.56385520,1.61347600
Rpl9,0.00000000,0.27550136,1.61227247
Dbi,0.00000000,0.64465696,1.61109255
Uba52;Kxd1;Ubc;Ubb;Rps27a;Gm7808;Gm5239,0.00000000,0.69596880,1.60957076
Cyb5r1,0.00000000,0.63227349,1.60843569
Ass1;Gm5424,0.00000000,-0.44006953,1.60508430
Oxld1,0.00000000,-2.53351430,1.60243985
Vars2,0.00000000,-0.24578304,1.60195347
Nudt7,0.00000000,0.26073248,1.59958172
Cyp3a41a,1.00000000,-5.00000000,1.59717702
Rpl23a,0.00000000,0.42407533,1.59600975
Mtdh,0.00000000,-0.52333816,1.59071081
Dpm3,0.00000000,-1.17134980,1.58853971
Hagh,0.00000000,0.49761240,1.58069334
Dennd1b,1.00000000,1.74723896,1.57797990
Serpina3m,0.00000000,0.53534004,1.57583076
Mdh2,0.00000000,0.34276776,1.57511649
Tf,0.00000000,-1.36210823,1.57129370
Ndufb11,0.00000000,-0.25846032,1.56939478
Lars2,0.00000000,0.56383915,1.56902916
Aldh1a3,0.00000000,1.61575115,1.56508587
Rab7a,0.00000000,-0.32114256,1.56272513
Prodh2,0.00000000,-0.29499885,1.56028892
Acnat2,0.00000000,1.85029439,1.55976080
Sfxn5,0.00000000,0.28910928,1.55748741
Pex13,0.00000000,-0.32335871,1.55164026
Ndufab1,0.00000000,-0.76648599,1.54944943
Cyp2c69,1.00000000,5.00000000,1.54940343
Slc25a13,0.00000000,-0.36088261,1.54486309
Dcakd,0.00000000,-0.44706983,1.54410950
Pdia5,0.00000000,0.17111608,1.54291578
Ears2,0.00000000,0.34294742,1.54133570
Timm17b,0.00000000,0.39153119,1.53373649
Ccbl2,0.00000000,-2.50749781,1.53248089
Nudt2,0.00000000,-0.47151433,1.53037810
Farsa,0.00000000,1.68671570,1.52956733
Mcl1,0.00000000,-0.84461832,1.52914659
Sdhd,0.00000000,-1.62039223,1.52772010
,0.00000000,-0.68998763,1.52687134
Cers2,0.00000000,0.70538846,1.52098071
Mrpl38,0.00000000,-0.24117395,1.52056077
Sord,0.00000000,0.54004712,1.51967210
Timm17a,0.00000000,-0.34591665,1.51860677
Rhot1,0.00000000,-0.28468615,1.51846749
Elac2,0.00000000,0.59850357,1.51695979
Selk,0.00634740,2.73257008,1.51474257
BC089597,0.00000000,0.72506572,1.51262981
Mettl15,0.00000000,1.19857457,1.51260145
Cps1,0.00000000,-0.19052861,1.51247692
Gpx4,0.00000000,0.55977548,1.51002062
Aldh1b1,0.00000000,-0.49791653,1.50936345
Glyat,0.00176890,-1.14180795,1.50900343
Mul1,0.00000000,0.65703823,1.50824646
Mtrf1l,0.00000000,0.96755428,1.50793147
Gcdh,0.00000000,-0.24409851,1.50721423
Tdrkh,0.00000000,1.91090767,1.50705880
Ugt1a1,0.00000000,0.28975128,1.50645048
Plg,0.00000000,0.51784760,1.50503876
Ugt2b5;Ugt2b17,0.00000000,0.48229431,1.50440084
Emc8,0.00000000,0.69526505,1.50110918
Agps,0.00000000,2.59998558,1.49951554
Supv3l1,0.00000000,-0.34292761,1.49916889
Mar-01,0.00000000,-0.33594637,1.49465584
Dguok,0.00000000,-0.86448936,1.49380729
Pnpt1,0.00000000,-0.31987098,1.49378441
Fahd1,0.00000000,-0.40017296,1.49087647
Ehmt1,1.00000000,-1.66291034,1.48910453
Rdh7,0.00000000,0.50874690,1.48554992
Yars2,0.00000000,0.20024156,1.48440511
Nceh1,0.00000000,1.23623670,1.48158166
Sdhaf2,0.00000000,-0.48237837,1.48004239
Sod2,0.00000000,-0.46622071,1.47585685
Nomo1,0.00000000,0.37209398,1.47497834
Ndufa6,0.00000000,-0.52081558,1.47379628
Pex2,0.00000000,-0.84567613,1.47359946
Mrpl41;Gm6434,0.00000000,-0.29699765,1.46978833
Grpel1,0.00000000,-0.33143305,1.46745777
Agpat5,0.00000000,0.33604606,1.46598874
Usp30,0.00000000,0.71234522,1.46486905
Arl8a,0.00000000,0.87433690,1.46317792
Timm44,0.00000000,-0.27345928,1.45946926
Isca2,0.00000000,-0.50117978,1.45942545
Edaradd,1.00000000,-1.77725184,1.45868121
Mia3,0.00000000,4.58955598,1.45668393
Hspe1,0.00000000,-0.38629158,1.45652418
Ppia,0.00000000,-0.40857659,1.45135594
Slc25a22,0.00000000,-0.25208910,1.45069123
Tmem186,0.00000000,0.50056834,1.45050017
Hba-a2;Hba,0.00000000,0.36006484,1.44922338
,0.00000000,-0.30245093,1.44776076
Ndufs1,0.00000000,-0.34435770,1.44773076
,0.00000000,1.60832846,1.44600279
Rpl22,0.00000000,0.38800946,1.44253431
Dnajc4,0.00000000,1.96736354,1.44190604
Hp,0.00000000,0.71200006,1.44096812
Rps14,0.00000000,0.61092980,1.43707911
Gfm1,0.00000000,-0.28929516,1.43037636
Tor1a,0.00000000,1.09779183,1.42339487
Actbl2,1.00000000,3.03427341,1.42275919
Sigmar1,0.00000000,-1.09953788,1.42031812
Rps27l;Rps27,0.00000000,1.77241469,1.41708652
Gfm2,0.00000000,-0.33632432,1.41611633
Mettl7a1,0.00000000,-0.60391869,1.41602742
,0.00000000,-1.00298407,1.41356726
Prdm6,1.00000000,1.01895808,1.41219674
Tmem147,0.00000000,0.66969321,1.41052842
Pnma3,0.00521130,-2.35514913,1.41021004
Atpaf1,0.00000000,-0.96681621,1.40919719
Gm20498,0.00000000,-0.30707096,1.40683334
Mrps18b,0.00000000,0.61228303,1.39966252
Igtp;Irgm2,0.00000000,0.53641217,1.39917185
Arl6ip1,0.00000000,0.95739903,1.39872580
Dnajc15,0.00000000,-1.51369400,1.39156585
Galns,0.00000000,0.64631650,1.38659045
Vwa8,0.00000000,0.62407822,1.38631392
Cdh7,0.00843170,5.83433572,1.38458592
Mrpl18,0.00000000,0.35710263,1.38254877
Ndufs4,0.00000000,0.47460438,1.38247568
Saysd1,0.00000000,0.70157800,1.38144478
Ccdc90b,0.00000000,-0.38863884,1.38038446
Rpl18,0.00000000,0.62657333,1.38003992
Fam210b,0.00000000,-0.36638572,1.37545110
Abcd2,0.00000000,-3.07663320,1.37355986
Ufc1,0.00000000,0.74182608,1.37258463
Pgrmc2,0.00000000,-0.31129950,1.37236709
mt-Nd4l;Mtnd4l,0.00000000,1.50918888,1.36998743
,0.00000000,-0.73696384,1.36833907
Tomm20,0.00000000,0.35429288,1.36745199
Apom,0.00000000,0.68155317,1.36654119
Gosr2,0.00737800,-1.31795090,1.36616738
Cyp3a13,0.00000000,0.44685662,1.36419502
Sdha,0.00000000,-0.43380099,1.36340430
Sema7a,0.00682590,-0.54291639,1.36234231
Glod4,0.00000000,-0.39429940,1.36181784
Ndufs2,0.00000000,-0.21612054,1.36159220
Eif3f,0.00000000,-1.04478670,1.36004711
Fga,0.00000000,-0.44336757,1.35730633
Ckmt2,0.00000000,9.84284030,1.35519198
Dcxr,0.00000000,5.00000000,1.35475130
Capzb,0.00000000,5.00000000,1.35475130
Mga,1.00000000,-5.00000000,1.35475130
Olfr1151;Olfr1138;Olfr1080;Olfr1084,0.00233510,-5.00000000,1.35475130
Chchd7,0.00846980,-5.00000000,1.35475130
Cfb;Gm20547,0.00000000,-5.00000000,1.35475130
Col6a3,0.00000000,-5.00000000,1.35475130
Aktip,1.00000000,-5.00000000,1.35475130
Ankrd36,1.00000000,-5.00000000,1.35475130
Adck3,1.00000000,-5.00000000,1.35475130
Gm4450,0.00000000,5.00000000,1.35475130
Spata31d1d,1.00000000,-5.00000000,1.35475130
Ppp2r2d,1.00000000,5.00000000,1.35475130
Lamtor5,0.00844120,-5.00000000,1.35475130
Agpat1,0.00000000,-5.00000000,1.35475130
Sdr42e1,0.00847940,5.00000000,1.35475130
Itih2,0.00000000,5.00000000,1.35475130
Myh14,1.00000000,-5.00000000,1.35475130
Mup7,0.00059666,-5.00000000,1.35475130
Fabp4,0.00000000,5.00000000,1.35475130
Itgb1,0.00000000,-5.00000000,1.35475130
Cyp2a4,1.00000000,5.00000000,1.35475130
Rab6a,1.00000000,5.00000000,1.35475130
Fpgs,0.00000000,5.00000000,1.35475130
Atp6v1a,0.00000000,5.00000000,1.35475130
Fabp2,0.00000000,5.00000000,1.35475130
Ube2g2,0.00000000,5.00000000,1.35475130
Dynll2;Dynll1,0.00000000,5.00000000,1.35475130
Kcnj3,0.00843640,5.00000000,1.35475130
Tubb4a;Tubb4b,0.00793650,-5.00000000,1.35475130
Vamp7,0.00000000,-5.00000000,1.35475130
Hgsnat,0.00000000,-5.00000000,1.35475130
Slc25a11,1.00000000,5.00000000,1.35475130
Slc25a26,0.00000000,5.00000000,1.35475130
Mff,1.00000000,5.00000000,1.35475130
Rhbdd1,0.00000000,-5.00000000,1.35475130
Bmp3,0.00234190,-5.00000000,1.35475130
Med12l,1.00000000,5.00000000,1.35475130
Acn9,0.00000000,5.00000000,1.35475130
Slc25a48,0.00000000,-5.00000000,1.35475130
,1.00000000,5.00000000,1.35475130
,1.00000000,5.00000000,1.35475130
Ccdc115,0.00059595,-5.00000000,1.35475130
Snx4,0.00738640,5.00000000,1.35475130
Hagh,0.00000000,5.00000000,1.35475130
Epdr1,0.00234330,5.00000000,1.35475130
Sucnr1,0.00291210,5.00000000,1.35475130
Cnih4,1.00000000,5.00000000,1.35475130
Ndufv2,1.00000000,-5.00000000,1.35475130
Mcemp1,0.00792300,-5.00000000,1.35475130
Cnn3,0.00000000,5.00000000,1.35475130
Dhdh,0.00000000,5.00000000,1.35475130
Slc15a1,1.00000000,-5.00000000,1.35475130
Amacr,0.00000000,-0.13859170,1.34891069
Paqr9,0.00000000,0.26811855,1.34806571
Etfa,0.00000000,-0.28232050,1.34310591
Crls1,0.00000000,1.44142030,1.33641319
Cbr4,0.00000000,-0.42125194,1.33636119
Lamtor1,0.00000000,-0.76132153,1.33328467
Mcat,0.00000000,0.69797255,1.32904926
Hist1h2br;Hist1h2bp;Hist1h2bk;Hist1h2bc;Hist2h2bb;Hist1h2bh;Hist1h2bb;Hist1h2bm;Hist1h2bf;Hist3h2ba;Hist3h2bb;Hist2h2be;Hist1h2ba,0.00000000,-1.42307947,1.32365526
Mtfr1l,0.00000000,0.28407777,1.32301682
Ndufs6,0.00000000,-0.22660906,1.31848435
Tmem254b;Tmem254,0.00059312,0.41679532,1.31727993
Hmgcl,0.00000000,-0.37979436,1.31623643
Hexa,0.00059559,-0.67496736,1.31360728
Grhpr,0.00000000,0.14758920,1.31284786
Mrpl4,0.00000000,-0.49986835,1.31179783
Adtrp,0.00792750,1.13498055,1.31085133
Pitrm1,0.00000000,-0.46822013,1.30993068
Timm13,0.00000000,0.20427745,1.30890138
Nit2,0.00000000,-0.31999895,1.30835844
Atp6v0d1,0.00000000,0.64508950,1.30561022
Dhcr24,0.00000000,0.42442921,1.30287440
Akr1c6,0.00000000,0.45439238,1.30221153
Gm9867,0.00627850,-1.16814475,1.30125704
Arpc4,0.00000000,0.97759814,1.29994053
Pdss2,0.00000000,1.25945805,1.29887274
Derl1,0.00000000,-0.37806824,1.29842769
Gba,0.00000000,-0.83717993,1.29738521
Gm28046,0.00000000,-0.41688958,1.29691123
Tecr,0.00000000,0.58965159,1.29670129
Hars2,0.00000000,0.22047642,1.29195227
Prdx4,0.00000000,0.74221540,1.29148392
Slc25a17,0.00000000,0.84082532,1.28912126
Smim8,0.00000000,-0.34933567,1.28639905
Fkbp8,0.00000000,0.27942434,1.28584354
Mrps36,0.00000000,-0.35511555,1.28549210
Sdf2,0.00000000,0.84175952,1.28285253
Aldh5a1,0.00000000,-0.16172483,1.28268769
Pygl,0.00000000,1.78427938,1.27887030
Idh3g,0.00000000,0.27721686,1.27613241
Mrpl17,0.00000000,0.25075997,1.27375119
Cyp2c37,0.00000000,0.30885404,1.27349348
Sco2,0.00000000,0.68461043,1.27339194
Isoc2a,0.00000000,-0.44916598,1.27083295
Dnlz,0.00000000,-0.85414717,1.26385790
Ugt2b36,0.00000000,0.36932302,1.26333086
Fam136a,0.00000000,0.56847179,1.26323780
Maoa,0.00000000,-0.16398952,1.26243277
Ctsl,0.00000000,-0.69241236,1.26229483
Spr,0.00000000,-0.50164547,1.26105049
mt-Co2;Mtco2,0.00000000,-0.38277965,1.26040072
Uqcr11,0.00000000,-0.65558277,1.25987942
Stim1,0.00000000,-1.12184683,1.25860490
Rps8,0.00000000,2.20364753,1.25770261
Npc2,0.00000000,0.54577118,1.25756970
Cyp3a25;Cyp3a59,0.00000000,0.50787780,1.25634851
Mrps33,0.00000000,-0.71980136,1.25544549
Ergic1,0.00000000,-0.23870501,1.25527260
Ugdh,0.00000000,1.74154463,1.25213060
Uroc1,0.00000000,-1.52773576,1.24756099
Eci1,0.00000000,0.27377947,1.24395343
Mrps14,0.00000000,0.37365865,1.24350133
Npepps,0.00000000,0.45884932,1.24099513
Pmpca,0.00000000,-0.16475595,1.23531495
Adprm,1.00000000,0.35496459,1.23340734
Atl2,0.00000000,0.43053187,1.23182963
Pcmt1,0.00000000,-0.21483752,1.23019677
Dak,0.00348840,0.46070921,1.23005348
Sqrdl,0.00000000,-0.12437996,1.22972757
Stx5a;Stx5,0.00000000,-1.35611753,1.22921339
Chchd1,0.00000000,-0.58519623,1.22625184
Syne1,0.00234060,1.03797554,1.22301867
Ndufa13,0.00000000,-0.26803608,1.22284081
Timm8a1,0.00000000,0.31212077,1.22276469
Ttc3,0.00952910,1.17813545,1.22196381
Elovl5,0.00844590,1.12107619,1.22113091
Hyou1,0.00000000,0.27621186,1.22070036
Abcd3,0.00000000,-0.50530049,1.22037395
Hspd1,0.00000000,-0.19333280,1.21727585
Clpx,0.00000000,-1.37554500,1.21700466
Mrps30,0.00000000,-0.20573292,1.21699381
Rab10,0.00000000,-0.47846378,1.21483636
Tamm41,0.00000000,0.29342656,1.21473915
Cyp2d9,0.00000000,-0.25021129,1.21302791
Txn2,0.00000000,-0.26180750,1.21131698
Rhot1,0.00521740,-0.86376488,1.21078584
Ctsz,0.00000000,0.60855103,1.20991571
Acot1,0.00000000,-0.74580814,1.20914533
Slc25a12,0.00000000,-0.40712525,1.20483245
Cyp2d26,0.00000000,0.29927732,1.20469385
Bad,0.00000000,0.87976532,1.20246736
Bpifb2,0.00947600,-0.51376606,1.20060431
Ndufa4,0.00000000,0.50645023,1.20018274
Rhot2;Gm20683,0.00000000,-0.23565113,1.19915364
Rpl4,0.00000000,0.46412834,1.19862542
Bphl,0.00000000,0.19195906,1.19825963
Acot3;Acot5,0.00000000,-0.70089884,1.19655325
Rpl36a,0.00000000,-0.29802073,1.19577555
Prdx6,0.00848420,-2.68368505,1.19430740
Acad12,0.00000000,0.47864669,1.19350248
Haao,0.00000000,-0.92430049,1.19291224
Atp5e,0.00000000,-0.39663393,1.19270458
Acsl5,0.00000000,-0.44898589,1.18715450
Polrmt,0.00000000,0.18256019,1.18446823
Cyp51a1,0.00000000,0.33724466,1.18084526
,0.00000000,-0.49808610,1.18069070
Ero1lb,0.00000000,0.20032748,1.17911230
Rpl27a,0.00000000,0.90085056,1.17827107
Mrpl14,0.00000000,-0.68599809,1.17581723
Endog,0.00000000,0.84062766,1.17299828
Ndufb4,0.00000000,0.22016724,1.17202118
Serpinh1,0.00000000,0.62235218,1.17122712
Lactb,0.00000000,0.18698549,1.16549269
Tomm5,0.00950780,-1.85006273,1.15967789
Myl12a,0.00000000,1.37142894,1.15664269
Kctd18,1.00000000,-1.25312139,1.15557858
Emc3,0.00000000,0.72588055,1.15338392
Vnn1,0.00000000,-0.76925461,1.15216136
Skp1,0.00000000,1.45565900,1.15145752
Nsun4,0.00000000,-0.61239902,1.15026465
Ndufa10,0.00000000,-0.23826288,1.14073315
Mtg1,0.00000000,-0.61611760,1.13852812
Pemt,0.00000000,1.58094688,1.13791571
Txnrd3,0.00000000,-0.97739543,1.13388962
C8a,0.00000000,0.79075796,1.13159376
Naga,0.00000000,-0.51628736,1.12790795
Mrpl45,0.00000000,0.54437198,1.12787911
Pex12,0.00000000,0.50587258,1.12649496
Fabp5,0.00000000,-1.58661482,1.12482164
Fam213a,0.00000000,-0.46358830,1.12264558
Ehd1;Ehd3,0.00000000,-0.75565928,1.12100306
C6,0.00000000,0.73085748,1.11920199
Mrpl9,0.00000000,-0.39270878,1.11716953
Acsf2,0.00000000,-0.12930500,1.11696940
Manba,0.00000000,-1.42278689,1.11604299
Nars2,0.00000000,0.29688761,1.11485551
Gm2a,0.00000000,-0.54523503,1.11251523
Aadat,0.00000000,0.30563264,1.10904594
Lyz2,0.00235020,1.21825666,1.10795211
Cyp4f14,0.00000000,-0.29837107,1.10787543
Tmem214,0.00000000,0.22867903,1.10623032
Fdps,0.00000000,-0.35216406,1.10529072
Mpv17l2,0.00000000,0.52039139,1.10523529
Atox1,0.00000000,-1.21604428,1.10434887
Hmox1,0.00177100,2.64094980,1.10427058
Gpd1l,0.00000000,0.20813296,1.10407120
Fkbp11,0.00000000,0.36568966,1.10341034
Dpm1,0.00000000,1.09474439,1.09896666
Qrsl1,0.00000000,-0.30128708,1.09551323
Hsd17b13,0.00000000,-0.33677645,1.09539035
Gm12800,1.00000000,-2.54987813,1.09486650
Serpina1b,0.00000000,-0.44262942,1.09370461
Atp5o,0.00000000,-0.31719554,1.09076977
Hspa1l,0.00000000,2.01923610,1.08627861
Tmed3,0.00519930,1.72148074,1.08551617
Galnt13,1.00000000,1.19080308,1.08150120
Ephx1,0.00000000,0.36703331,1.07925620
Rpl24,0.00000000,0.42502993,1.07886368
Cox18,0.00000000,-0.64202298,1.07830151
Cyp2f2,0.00000000,0.29801177,1.07715970
Acsf3,0.00000000,-0.21623911,1.07430001
Pon3,0.00000000,0.20394597,1.07193652
Mfn1,0.00000000,-0.28146323,1.07157698
Lrpap1,0.00176990,0.38852315,1.06792542
Hspd1,0.00000000,-0.66076874,1.06690176
Mgst3,0.00000000,-0.53770808,1.06574984
Mup1;Mup15,0.00000000,1.45702676,1.06574205
Mrps9,0.00000000,0.28623503,1.06464550
Coq5,0.00000000,0.60470156,1.06463598
Cml5,0.00000000,0.57253374,1.06313142
Ufl1,0.00000000,0.82534771,1.06198168
2310009B15Rik,0.00000000,-0.58361954,1.06018773
Bcap29,0.00000000,1.55150249,1.05853518
Ctss,0.00176680,1.47243857,1.05851525
Ndufb9,0.00000000,-0.44300073,1.05060053
Rab18,0.00000000,-0.27342791,1.05012684
Dut,0.00000000,0.75109973,1.04974909
Aldh7a1,0.00000000,-0.13635330,1.04874461
Abhd3,0.00000000,0.53031948,1.04769134
Ndufaf7,0.00000000,-0.15016711,1.04690776
Mrpl13,0.00000000,0.30868247,1.04596952
Coa7,0.00000000,-0.41306568,1.04560138
Fitm2,0.00000000,0.83685019,1.04469698
Samm50,0.00000000,-0.24554915,1.04384383
Slc25a21,0.00000000,-0.31518637,1.03851250
Kdelr1;Kdelr2,0.00000000,-0.88441732,1.03795347
Pnpla8,0.00000000,-0.22432912,1.03747082
Abcb10,0.00000000,-0.17759848,1.03278353
Sgsh,0.00626780,0.91355225,1.03224093
Sfxn3,0.00000000,0.26707020,1.02887631
Sec62,0.00235160,0.74070017,1.02857392
Ttr,0.00000000,-1.01650783,1.02792318
Pdpr,0.00177200,-0.94392382,1.02752315
Clpp,0.00000000,-0.48622133,1.02355240
Rpl7,0.00000000,-0.16462847,1.02231305
,0.00000000,-0.43381154,1.02214773
Ndufb8,0.00000000,0.47184109,1.02214500
Tmem14c,0.00000000,-0.29077217,1.02051367
Cfl1,0.00000000,1.04967647,1.01839892
Dhx30,0.00000000,-0.22949676,1.01619603
Ebp,0.00000000,0.34974291,1.01568561
Atp13a4,0.00633280,-0.96508051,1.01348735
Rps2;Gm8225;Gm5786;Gm6576;Gm18025,0.00793200,0.92441144,1.01311207
mt-Nd4;Mtnd4,0.00000000,-0.42794241,1.01257286
Cox6c,0.00000000,-0.36112329,1.01228716
Ndufaf3,0.00000000,-0.38605302,1.01148435
Gatm,0.00000000,0.48089465,1.01095233
Ndufaf4,0.00000000,-0.15526537,1.00663046
Farsb,0.00682980,-0.76357647,1.00643287
Ipo5,0.00000000,0.66929215,1.00553385
Cyp2c29,0.00000000,0.15130279,1.00527065
Rps15,0.00000000,0.49787038,1.00430630
Snd1,0.00000000,1.55629620,1.00376493
Erp29,0.00000000,0.42333961,1.00073093
Pex10,0.00000000,0.22467236,0.99655401
Cnpy3,0.00059418,-1.12382902,0.98979655
Mrpl43,0.00000000,0.29626963,0.98911214
Nipsnap1,0.00000000,0.36316036,0.98827751
Hao1,0.00000000,-0.22428335,0.98087576
Slc25a51,0.00000000,0.42705323,0.98052000
Rdh11,0.00000000,-0.22552553,0.97628539
Nif3l1,0.00000000,0.67650786,0.97586509
Cox7a2l,0.00000000,0.22846692,0.97539513
FRRS1,0.00000000,-2.05578743,0.97522197
Hmgxb4,1.00000000,-2.05233052,0.97428835
Ndufs8,0.00000000,-0.29858278,0.97330919
Tomm22,0.00000000,0.51514167,0.97188202
Alg5,0.00000000,-0.70604880,0.96947878
9030617O03Rik,0.00000000,-0.19939931,0.96932404
Hrsp12,0.00000000,-0.37654889,0.96882105
Mocs1,0.00000000,-0.13225295,0.96862736
Acy1,0.00845550,-0.62367519,0.96726193
Emc2,0.00000000,0.25684259,0.96687857
Immt,1.00000000,1.55351406,0.95912357
Slc25a40,0.00000000,-0.54266517,0.95818164
Uggt1,0.00000000,1.19842284,0.95687286
Cyp2a12,0.00000000,0.25003825,0.95370265
Atp5b,0.00000000,-0.14941618,0.95243344
Aadac,0.00000000,0.14961735,0.95077674
Pck2,0.00000000,-0.38832786,0.94886820
Shmt2,0.00000000,-0.12144331,0.94293601
Btd,1.00000000,-1.04638450,0.94058162
Plbd2,0.00000000,-0.67275226,0.93931169
Abcd1,0.00000000,-0.31287166,0.93921655
Myl12b;Myl9,0.00000000,-0.20754838,0.93881535
,0.00000000,-0.24815546,0.93748585
Rab9a;Rab9,0.00000000,-0.23553964,0.93533470
Atp5j2,0.00000000,-0.25879820,0.93487656
Mrs2,0.00000000,-1.06202436,0.93475796
Hsd11b1,0.00000000,-0.22796522,0.93412947
Nme4,0.00954520,1.90481551,0.93226005
Sucla2,0.00000000,-0.07446280,0.92775380
Cyp2e1,0.00000000,0.25431035,0.92725392
Rab14,0.00000000,-0.34620547,0.92724590
Armc1,0.00000000,0.17232112,0.92689358
Cebpzos,0.00000000,-0.68765492,0.92629019
Gm5093,0.00000000,1.35537305,0.92598640
Ctsc,0.00000000,-0.33042339,0.92551840
Rpl18a;Gm17541,0.00000000,0.46299432,0.92284777
Tmlhe,0.00000000,-0.52237136,0.92232960
Echdc1,0.00000000,-0.16954846,0.91932903
Acox3,0.00000000,0.31371878,0.91857639
Lipa,0.00000000,-0.50688817,0.91748261
Sec22b,0.00000000,0.29026992,0.91661366
Atp11c,0.00000000,0.42045999,0.91527012
Tomm6,0.00000000,-0.51448580,0.91431124
Fdft1,0.00000000,1.06464024,0.91349661
Slc25a35,0.00000000,0.81515093,0.91266468
Mrpl49,0.00000000,-0.18988093,0.91258098
Aldh1b1,0.00000000,0.47941485,0.91173363
Suox,0.00000000,0.23322626,0.91157660
Arl8b,0.00000000,0.61298688,0.90944791
Ndufaf6,0.00000000,0.32818341,0.90927335
Pdhx,0.00000000,0.18427080,0.90720012
Tmem160,0.00000000,-0.34084494,0.90576905
Ide,0.00000000,-0.36718530,0.90493548
Mtif2,0.00000000,-0.22309421,0.90408219
Cat,0.00000000,0.11727766,0.90363607
Rps26,0.00522040,0.49441545,0.90176245
Tmtc3,0.00000000,0.84129751,0.90063919
Tomm40,0.00000000,-0.24473198,0.90051190
Chchd10,0.00000000,1.00510413,0.89899381
Paics,0.00000000,0.34435281,0.89818050
Msra,0.00000000,-0.40284954,0.89801440
Tmem56,0.00000000,-0.41399116,0.89527366
Ssr4,0.00000000,0.21951302,0.89242099
Acsl4,0.00000000,-0.20622922,0.89195030
Sirt4,0.00000000,-1.18518989,0.89048319
Scarb2,0.00000000,-0.41282097,0.88958394
Fah,0.00000000,0.61776586,0.88910483
Auh,0.00000000,0.15710239,0.88528417
Derl2,0.00630730,-0.61514429,0.88479942
Mmp12,1.00000000,1.75349032,0.88443656
Cpox,0.00000000,0.21945785,0.88100974
Ctsd,0.00000000,-0.30298862,0.87489614
Lipt2,0.00000000,-0.83082595,0.87352455
Tstd1,0.00000000,-0.92745644,0.87192745
Rnaset2,0.00000000,-1.05897322,0.87150544
Nadk2,0.00000000,0.62268808,0.87051633
Prosc,0.00000000,-0.30825490,0.86990009
Tmem208,0.00000000,1.70860895,0.86927863
Iba57,0.00000000,-0.14042126,0.86911416
Rap1b,0.00000000,-0.30565148,0.86663645
Eno1,0.00000000,-0.37200877,0.86645656
Smim12,0.00000000,-0.35370458,0.86645236
Cyb5a,0.00000000,0.19244217,0.86409322
Ndufs7,0.00000000,-0.16498418,0.86181990
Ddt;Gm20441,0.00000000,-1.01453617,0.85962290
Mrpl33,0.00000000,0.58541407,0.85951077
Csl,1.00000000,0.68609030,0.85911791
Mmgt1,0.00000000,-1.14081788,0.85755494
Acaa1a,0.00000000,0.10898134,0.85492385
Apoh,0.00000000,-1.03023078,0.85184237
Rab6a;Rab6b,0.00000000,-0.40385942,0.85174826
Iah1,0.00000000,0.52770082,0.85101197
Cept1,0.00000000,-0.34019771,0.84998926
Cyb5b,0.00000000,0.17354680,0.84986206
Chdh,0.00000000,-0.07670250,0.84922308
Mar-05,0.00000000,-0.49666422,0.84754982
Aga,0.00000000,-0.29368878,0.84672176
Jagn1,0.00000000,0.62453825,0.84620313
Arf1;Arf3;Arf2,0.00000000,0.62790748,0.84294517
Sdhc,0.00000000,-0.60279055,0.84085022
Pfn1,0.00000000,-1.17542228,0.83857510
Zw10,1.00000000,0.97102610,0.83636780
Gm17669;Gm3550;Gm10709;Rpl29;Gm5218,0.00000000,0.59808151,0.83566605
Alb,0.00000000,-0.37170813,0.83155352
Rps28,0.00000000,1.60013406,0.83071601
Nudt8,0.00000000,0.29351310,0.82995802
Ugt1a5;Ugt1a2,0.00000000,-0.26182751,0.82909064
Ndufb3,0.00000000,-0.15117590,0.82712244
Mettl20,0.00000000,-1.13083975,0.82688582
Slc25a15,0.00000000,0.30216490,0.82423939
Rdh9,0.00000000,0.76995927,0.82253112
Ptrh2,0.00000000,-0.18470878,0.82004555
Cox16,0.00000000,-0.32905019,0.81837227
Atpif1,0.00000000,0.43363064,0.81736782
Mrpl46,0.00000000,-0.18033710,0.81605266
Telo2,1.00000000,-0.56799234,0.81573358
Bnip3,0.00000000,-0.24336796,0.81426776
Serhl,0.00000000,0.54886527,0.81411684
Flad1,0.00000000,-0.28254731,0.81152837
Clpb,0.00000000,0.17019732,0.81151394
Ces1d,0.00000000,-0.16133937,0.80790149
Smg1,1.00000000,0.70231353,0.80780795
B2m,0.00794100,0.76153810,0.80780162
Mff,0.00000000,-0.24570483,0.80712723
Rps3,0.00000000,0.34849126,0.80695514
Decr1,0.00000000,-0.31547642,0.80363350
Mmab,0.00000000,0.28296717,0.80018540
Atp5l,0.00000000,-0.28249413,0.79734402
Tmed4,0.00000000,0.47111871,0.79509525
Ube2l3,0.00000000,0.91830941,0.79374613
Pgls,0.00000000,-0.51907046,0.79295472
Chp1,0.00000000,-0.20277482,0.79188076
Mrpl39,0.00000000,-0.15844355,0.79045272
Higd1a,0.00000000,-0.20058355,0.78949091
Uqcrc1,0.00000000,-0.09367331,0.78934747
Isoc2b,0.00000000,-0.44540956,0.78535129
Fundc1,0.00000000,-0.48656633,0.78486023
Ca3,0.00000000,0.54435071,0.78431179
